pfa,selected_policy,candidate_threshold,raw_threshold,lowrank_threshold
1e-05,raw,7.3833112716674805,7.3833112716674805,12.820113182067871
3e-05,raw,5.190057754516602,5.190057754516602,10.385639190673828
0.0001,raw,4.841177463531494,4.841177463531494,8.845281600952148
0.0003,gate,4.6487650871276855,3.503896713256836,7.419379234313965
0.001,gate,3.422760009765625,2.589290142059326,6.476405143737793
0.003,gate,2.4555721282958984,2.2538034915924072,5.732641696929932
0.01,gate,1.7848325967788696,1.7874480485916138,3.7740232944488525
