image_id,file_name,pfa,selected_policy,annotations,target_pixels,background_pixels,candidate_pd,raw_pd,lowrank_pd,candidate_empirical_pfa,raw_empirical_pfa,lowrank_empirical_pfa,delta_vs_raw,delta_vs_lowrank
1,000001.jpg,1e-05,raw,1,3030,105556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,000001.jpg,3e-05,raw,1,3030,105556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,000001.jpg,0.0001,raw,1,3030,105556,0.0,0.0,0.00033003300330033004,0.0,0.0,0.0,0.0,-0.00033003300330033004
1,000001.jpg,0.0003,gate,1,3030,105556,0.7366336633663366,0.6623762376237624,0.0009900990099009901,0.0,0.0,0.0,0.07425742574257421,0.7356435643564356
1,000001.jpg,0.001,gate,1,3030,105556,0.9224422442244224,0.8138613861386138,0.0042904290429042905,0.0,9.473644321497593e-06,0.0,0.10858085808580864,0.9181518151815181
1,000001.jpg,0.003,gate,1,3030,105556,0.9897689768976897,0.8468646864686469,0.007920792079207921,0.0,0.0002842093296449278,0.0,0.14290429042904285,0.9818481848184818
1,000001.jpg,0.01,gate,1,3030,105556,0.9996699669966996,0.8864686468646865,0.025412541254125412,0.0002936829739664254,0.004433665542460874,0.00010421008753647353,0.11320132013201312,0.9742574257425742
9,000009.jpg,1e-05,raw,1,921,112981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,000009.jpg,3e-05,raw,1,921,112981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,000009.jpg,0.0001,raw,1,921,112981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,000009.jpg,0.0003,gate,1,921,112981,0.6623235613463626,0.40499457111834963,0.0,7.08083660084439e-05,3.540418300422195e-05,0.0,0.257328990228013,0.6623235613463626
9,000009.jpg,0.001,gate,1,921,112981,0.8827361563517915,0.5928338762214984,0.003257328990228013,0.00017702091502110975,8.851045751055488e-05,0.0,0.28990228013029307,0.8794788273615635
9,000009.jpg,0.003,gate,1,921,112981,0.9837133550488599,0.6525515743756786,0.0054288816503800215,0.0002655313725316646,0.00015931882351899877,0.0011152317646329914,0.33116178067318136,0.9782844733984799
9,000009.jpg,0.01,gate,1,921,112981,1.0,0.738327904451683,0.008686210640608035,0.0003982970587974969,0.0011683380391393243,0.01737460280932192,0.26167209554831705,0.991313789359392
11,000011.jpg,1e-05,raw,1,2870,147617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,000011.jpg,3e-05,raw,1,2870,147617,0.0,0.0,0.0,0.0,0.0,1.3548575028621365e-05,0.0,0.0
11,000011.jpg,0.0001,raw,1,2870,147617,0.0,0.0,0.0,0.0,0.0,0.00043355440091588367,0.0,0.0
11,000011.jpg,0.0003,gate,1,2870,147617,0.5310104529616725,0.0,0.0003484320557491289,9.484002520034956e-05,0.0,0.0007790430641457284,0.5310104529616725,0.5306620209059234
11,000011.jpg,0.001,gate,1,2870,147617,0.7306620209059234,0.44947735191637633,0.0003484320557491289,0.001470020390605418,0.0022287405922082146,0.0011787260274900588,0.281184668989547,0.7303135888501743
11,000011.jpg,0.003,gate,1,2870,147617,0.878397212543554,0.4902439024390244,0.0006968641114982578,0.008779476618546644,0.004037475358529167,0.0016393775784631851,0.3881533101045296,0.8777003484320557
11,000011.jpg,0.01,gate,1,2870,147617,0.9564459930313589,0.5665505226480836,0.005923344947735192,0.025552612503979895,0.013690835066421889,0.005554915761734759,0.3898954703832753,0.9505226480836237
19,000019.jpg,1e-05,raw,1,2594,117946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,000019.jpg,3e-05,raw,1,2594,117946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,000019.jpg,0.0001,raw,1,2594,117946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,000019.jpg,0.0003,gate,1,2594,117946,0.0,0.0,0.0,0.0,0.0,8.478456242687331e-06,0.0,0.0
19,000019.jpg,0.001,gate,1,2594,117946,0.0015420200462606013,0.20932922127987663,0.0007710100231303007,2.5435368728061996e-05,0.004213792752615604,0.00019500449358180862,-0.20778720123361602,0.0007710100231303007
19,000019.jpg,0.003,gate,1,2594,117946,0.5709329221279876,0.3508095605242868,0.003469545104086353,0.0037644345717531753,0.010852423990639784,0.001865260373391213,0.22012336160370083,0.5674633770239013
19,000019.jpg,0.01,gate,1,2594,117946,0.825751734772552,0.4919043947571318,0.01156515034695451,0.035804520712868604,0.03237922439082292,0.01778780119715802,0.3338473400154202,0.8141865844255975
21,000021.jpg,1e-05,raw,1,3644,103341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,000021.jpg,3e-05,raw,1,3644,103341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,000021.jpg,0.0001,raw,1,3644,103341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,000021.jpg,0.0003,gate,1,3644,103341,0.0,0.0,0.0005488474204171241,0.0,0.0,9.676701406024714e-06,0.0,-0.0005488474204171241
21,000021.jpg,0.001,gate,1,3644,103341,0.02716794731064764,0.0,0.0030186608122941823,9.676701406024714e-06,0.0,0.0002612709379626673,0.02716794731064764,0.024149286498353458
21,000021.jpg,0.003,gate,1,3644,103341,0.5425356750823271,0.20993413830954993,0.0043907793633369925,0.002235318024791709,0.006057615080171471,0.001528918822151905,0.3326015367727772,0.5381448957189902
21,000021.jpg,0.01,gate,1,3644,103341,0.7730515916575192,0.4802414928649835,0.007409440175631174,0.021259712989036297,0.018869567741748194,0.01878247742909397,0.2928100987925357,0.7656421514818881
29,000029.jpg,1e-05,raw,1,1428,114628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,000029.jpg,3e-05,raw,1,1428,114628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,000029.jpg,0.0001,raw,1,1428,114628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,000029.jpg,0.0003,gate,1,1428,114628,0.33753501400560226,0.08053221288515407,0.0028011204481792717,0.0,0.0,0.0,0.2570028011204482,0.334733893557423
29,000029.jpg,0.001,gate,1,1428,114628,0.6694677871148459,0.3074229691876751,0.0056022408963585435,0.0,0.0,8.723872003349967e-05,0.3620448179271708,0.6638655462184874
29,000029.jpg,0.003,gate,1,1428,114628,0.8956582633053222,0.41946778711484595,0.0063025210084033615,0.0,8.723872003349968e-06,0.004379383745681684,0.4761904761904762,0.8893557422969188
29,000029.jpg,0.01,gate,1,1428,114628,0.9733893557422969,0.5532212885154062,0.009103641456582634,0.0002093729280803992,0.0020152144327738424,0.01541508182991939,0.4201680672268907,0.9642857142857143
31,000031.jpg,1e-05,raw,2,7968,15581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,000031.jpg,3e-05,raw,2,7968,15581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,000031.jpg,0.0001,raw,2,7968,15581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,000031.jpg,0.0003,gate,2,7968,15581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,000031.jpg,0.001,gate,2,7968,15581,0.002008032128514056,0.0,0.0018825301204819277,6.418073294397022e-05,0.0,0.00012836146588794044,0.002008032128514056,0.00012550200803212834
31,000031.jpg,0.003,gate,2,7968,15581,0.1936495983935743,0.13315763052208834,0.0037650602409638554,0.0010268917271035235,0.006225531095565112,0.0016045183235992556,0.06049196787148595,0.18988453815261044
31,000031.jpg,0.01,gate,2,7968,15581,0.5870983935742972,0.3674698795180723,0.010291164658634538,0.01739297862781593,0.02554393171170015,0.015146652974776973,0.21962851405622486,0.5768072289156626
39,000039.jpg,1e-05,raw,1,6225,32560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,000039.jpg,3e-05,raw,1,6225,32560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,000039.jpg,0.0001,raw,1,6225,32560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,000039.jpg,0.0003,gate,1,6225,32560,0.0,0.0,0.000642570281124498,0.0,0.0,0.00015356265356265356,0.0,-0.000642570281124498
39,000039.jpg,0.001,gate,1,6225,32560,0.0001606425702811245,0.0,0.0030522088353413654,0.0,0.0,0.0009213759213759214,0.0001606425702811245,-0.002891566265060241
39,000039.jpg,0.003,gate,1,6225,32560,0.18779116465863455,0.0,0.004337349397590362,0.0016277641277641277,0.0,0.0035012285012285013,0.18779116465863455,0.18345381526104418
39,000039.jpg,0.01,gate,1,6225,32560,0.6472289156626506,0.3370281124497992,0.010120481927710843,0.02361793611793612,0.02797911547911548,0.016093366093366094,0.31020080321285143,0.6371084337349397
41,000041.jpg,1e-05,raw,1,654,123100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,000041.jpg,3e-05,raw,1,654,123100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,000041.jpg,0.0001,raw,1,654,123100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,000041.jpg,0.0003,gate,1,654,123100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,000041.jpg,0.001,gate,1,654,123100,0.0061162079510703364,0.05045871559633028,0.0,0.0,0.0,0.0,-0.04434250764525994,0.0061162079510703364
41,000041.jpg,0.003,gate,1,654,123100,0.5259938837920489,0.1437308868501529,0.0,0.0,0.0,0.0002843216896831844,0.382262996941896,0.5259938837920489
41,000041.jpg,0.01,gate,1,654,123100,0.8761467889908257,0.2874617737003058,0.0015290519877675841,0.00024370430544272948,0.0005767668562144598,0.019943135662063363,0.5886850152905199,0.8746177370030581
49,000049.jpg,1e-05,raw,3,826,110649,0.3692493946731235,0.3692493946731235,0.0,0.0,0.0,0.0,0.0,0.3692493946731235
49,000049.jpg,3e-05,raw,3,826,110649,0.5411622276029056,0.5411622276029056,0.0012106537530266344,0.0,0.0,0.0,0.0,0.5399515738498789
49,000049.jpg,0.0001,raw,3,826,110649,0.5847457627118644,0.5847457627118644,0.013317191283292978,0.0,0.0,0.0,0.0,0.5714285714285714
49,000049.jpg,0.0003,gate,3,826,110649,0.5314769975786925,0.7094430992736077,0.043583535108958835,0.0,9.037587325687535e-06,0.0,-0.17796610169491522,0.48789346246973364
49,000049.jpg,0.001,gate,3,826,110649,0.6186440677966102,0.7857142857142857,0.06174334140435835,0.0,0.0018707805764173195,0.0,-0.1670702179176755,0.5569007263922519
49,000049.jpg,0.003,gate,3,826,110649,0.7239709443099274,0.8038740920096852,0.09443099273607748,0.0,0.005305063760178583,0.0,-0.07990314769975781,0.6295399515738499
49,000049.jpg,0.01,gate,3,826,110649,0.8062953995157385,0.8232445520581114,0.23486682808716708,0.0,0.018084212238700756,0.00043380419163300166,-0.016949152542372947,0.5714285714285714
51,000051.jpg,1e-05,raw,2,1303,110798,0.30084420567920184,0.30084420567920184,0.0007674597083653108,0.0,0.0,0.0,0.0,0.3000767459708365
51,000051.jpg,3e-05,raw,2,1303,110798,0.5149654643131235,0.5149654643131235,0.0030698388334612432,0.0,0.0,0.0,0.0,0.5118956254796623
51,000051.jpg,0.0001,raw,2,1303,110798,0.5487336914811972,0.5487336914811972,0.0030698388334612432,0.0,0.0,0.0,0.0,0.545663852647736
51,000051.jpg,0.0003,gate,2,1303,110798,0.5786646201074443,0.6953184957789716,0.021488871834228703,0.0,0.0,0.0,-0.1166538756715273,0.5571757482732157
51,000051.jpg,0.001,gate,2,1303,110798,0.6792018419033001,0.7659247889485802,0.04528012279355334,0.0,0.0004963988519648369,0.0,-0.08672294704528005,0.6339217191097468
51,000051.jpg,0.003,gate,2,1303,110798,0.782808902532617,0.7958557175748273,0.06676899462778205,0.0,0.002382714489431217,0.0,-0.01304681504221028,0.716039907904835
51,000051.jpg,0.01,gate,2,1303,110798,0.9186492709132771,0.8334612432847276,0.15425940138142746,0.0,0.014729507752847525,0.00042419538258813336,0.08518802762854949,0.7643898695318496
59,000059.jpg,1e-05,raw,5,1246,89708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,000059.jpg,3e-05,raw,5,1246,89708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,000059.jpg,0.0001,raw,5,1246,89708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,000059.jpg,0.0003,gate,5,1246,89708,0.2504012841091493,0.0,0.0,0.0,0.0,0.0,0.2504012841091493,0.2504012841091493
59,000059.jpg,0.001,gate,5,1246,89708,0.43659711075441415,0.2913322632423756,0.0008025682182985554,0.0,0.00011147277834752754,0.0,0.14526484751203855,0.4357945425361156
59,000059.jpg,0.003,gate,5,1246,89708,0.6597110754414125,0.3507223113964687,0.0072231139646869984,0.00032327105720782987,0.0003344183350425826,0.0002117982788603023,0.3089887640449438,0.6524879614767255
59,000059.jpg,0.01,gate,5,1246,89708,0.8611556982343499,0.45585874799357945,0.024077046548956663,0.000858340393275962,0.0016052080082043965,0.019017255986088197,0.40529695024077045,0.8370786516853932
61,000061.jpg,1e-05,raw,4,2245,129790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,000061.jpg,3e-05,raw,4,2245,129790,0.0,0.0,0.00044543429844097997,0.0,0.0,0.0,0.0,-0.00044543429844097997
