annotation_id,image_id,file_name,pfa,selected_policy,target_pixels,candidate_pd,raw_pd,lowrank_pd,delta_vs_raw,delta_vs_lowrank
8,31,000031.jpg,0.001,gate,4866,0.002877106452938759,0.0,0.002466091245376079,0.002877106452938759,0.00041101520756267997
7,31,000031.jpg,0.003,gate,3102,0.0486782720825274,0.10186976144422953,0.003223726627981947,-0.05319148936170213,0.045454545454545456
8,31,000031.jpg,0.003,gate,4866,0.28606658446362515,0.15310316481709824,0.004110152075626798,0.13296341964652691,0.28195643238799833
7,31,000031.jpg,0.01,gate,3102,0.5367504835589942,0.30754352030947774,0.012250161186331399,0.2292069632495165,0.5245003223726629
8,31,000031.jpg,0.01,gate,4866,0.6191944101931771,0.40567200986436497,0.009042334566378957,0.21352240032881215,0.6101520756267982
9,39,000039.jpg,1e-05,raw,6225,0.0,0.0,0.0,0.0,0.0
9,39,000039.jpg,3e-05,raw,6225,0.0,0.0,0.0,0.0,0.0
9,39,000039.jpg,0.0001,raw,6225,0.0,0.0,0.0,0.0,0.0
9,39,000039.jpg,0.0003,gate,6225,0.0,0.0,0.000642570281124498,0.0,-0.000642570281124498
9,39,000039.jpg,0.001,gate,6225,0.0001606425702811245,0.0,0.0030522088353413654,0.0001606425702811245,-0.002891566265060241
9,39,000039.jpg,0.003,gate,6225,0.18779116465863455,0.0,0.004337349397590362,0.18779116465863455,0.18345381526104418
9,39,000039.jpg,0.01,gate,6225,0.6472289156626506,0.3370281124497992,0.010120481927710843,0.31020080321285143,0.6371084337349397
10,41,000041.jpg,1e-05,raw,654,0.0,0.0,0.0,0.0,0.0
10,41,000041.jpg,3e-05,raw,654,0.0,0.0,0.0,0.0,0.0
10,41,000041.jpg,0.0001,raw,654,0.0,0.0,0.0,0.0,0.0
10,41,000041.jpg,0.0003,gate,654,0.0,0.0,0.0,0.0,0.0
10,41,000041.jpg,0.001,gate,654,0.0061162079510703364,0.05045871559633028,0.0,-0.04434250764525994,0.0061162079510703364
10,41,000041.jpg,0.003,gate,654,0.5259938837920489,0.1437308868501529,0.0,0.382262996941896,0.5259938837920489
10,41,000041.jpg,0.01,gate,654,0.8761467889908257,0.2874617737003058,0.0015290519877675841,0.5886850152905199,0.8746177370030581
11,49,000049.jpg,1e-05,raw,340,0.36764705882352944,0.36764705882352944,0.0,0.0,0.36764705882352944
12,49,000049.jpg,1e-05,raw,232,0.3017241379310345,0.3017241379310345,0.0,0.0,0.3017241379310345
13,49,000049.jpg,1e-05,raw,254,0.4330708661417323,0.4330708661417323,0.0,0.0,0.4330708661417323
11,49,000049.jpg,3e-05,raw,340,0.5411764705882353,0.5411764705882353,0.0,0.0,0.5411764705882353
12,49,000049.jpg,3e-05,raw,232,0.4827586206896552,0.4827586206896552,0.0,0.0,0.4827586206896552
13,49,000049.jpg,3e-05,raw,254,0.594488188976378,0.594488188976378,0.003937007874015748,0.0,0.5905511811023623
11,49,000049.jpg,0.0001,raw,340,0.5911764705882353,0.5911764705882353,0.01764705882352941,0.0,0.5735294117647058
12,49,000049.jpg,0.0001,raw,232,0.5043103448275862,0.5043103448275862,0.017241379310344827,0.0,0.4870689655172414
13,49,000049.jpg,0.0001,raw,254,0.6496062992125984,0.6496062992125984,0.003937007874015748,0.0,0.6456692913385826
11,49,000049.jpg,0.0003,gate,340,0.5411764705882353,0.7264705882352941,0.052941176470588235,-0.18529411764705883,0.48823529411764705
12,49,000049.jpg,0.0003,gate,232,0.4698275862068966,0.6508620689655172,0.04741379310344827,-0.18103448275862066,0.4224137931034483
13,49,000049.jpg,0.0003,gate,254,0.5748031496062992,0.7401574803149606,0.027559055118110236,-0.16535433070866146,0.547244094488189
11,49,000049.jpg,0.001,gate,340,0.6411764705882353,0.7911764705882353,0.061764705882352944,-0.1499999999999999,0.5794117647058824
12,49,000049.jpg,0.001,gate,232,0.5387931034482759,0.7327586206896551,0.08189655172413793,-0.19396551724137923,0.456896551724138
13,49,000049.jpg,0.001,gate,254,0.6614173228346457,0.8267716535433071,0.04330708661417323,-0.16535433070866135,0.6181102362204725
11,49,000049.jpg,0.003,gate,340,0.7588235294117647,0.8088235294117647,0.09411764705882353,-0.050000000000000044,0.6647058823529411
12,49,000049.jpg,0.003,gate,232,0.6637931034482759,0.7586206896551724,0.1206896551724138,-0.09482758620689646,0.5431034482758621
13,49,000049.jpg,0.003,gate,254,0.7322834645669292,0.8385826771653543,0.07086614173228346,-0.10629921259842512,0.6614173228346457
11,49,000049.jpg,0.01,gate,340,0.8382352941176471,0.8323529411764706,0.22647058823529412,0.00588235294117645,0.611764705882353
12,49,000049.jpg,0.01,gate,232,0.7327586206896551,0.7758620689655172,0.2543103448275862,-0.0431034482758621,0.47844827586206895
13,49,000049.jpg,0.01,gate,254,0.8307086614173228,0.8543307086614174,0.2283464566929134,-0.023622047244094557,0.6023622047244094
14,51,000051.jpg,1e-05,raw,652,0.2469325153374233,0.2469325153374233,0.0,0.0,0.2469325153374233
15,51,000051.jpg,1e-05,raw,651,0.3548387096774194,0.3548387096774194,0.0015360983102918587,0.0,0.35330261136712754
14,51,000051.jpg,3e-05,raw,652,0.455521472392638,0.455521472392638,0.0015337423312883436,0.0,0.4539877300613497
15,51,000051.jpg,3e-05,raw,651,0.5745007680491552,0.5745007680491552,0.004608294930875576,0.0,0.5698924731182796
14,51,000051.jpg,0.0001,raw,652,0.48773006134969327,0.48773006134969327,0.0015337423312883436,0.0,0.48619631901840493
15,51,000051.jpg,0.0001,raw,651,0.6098310291858678,0.6098310291858678,0.004608294930875576,0.0,0.6052227342549923
14,51,000051.jpg,0.0003,gate,652,0.5230061349693251,0.6211656441717791,0.019938650306748466,-0.09815950920245398,0.5030674846625767
15,51,000051.jpg,0.0003,gate,651,0.6344086021505376,0.7695852534562212,0.02304147465437788,-0.13517665130568357,0.6113671274961597
14,51,000051.jpg,0.001,gate,652,0.6104294478527608,0.7101226993865031,0.049079754601226995,-0.09969325153374231,0.5613496932515337
15,51,000051.jpg,0.001,gate,651,0.7480798771121352,0.8218125960061444,0.041474654377880185,-0.07373271889400923,0.706605222734255
14,51,000051.jpg,0.003,gate,652,0.7423312883435583,0.75,0.0736196319018405,-0.0076687116564416735,0.6687116564417178
15,51,000051.jpg,0.003,gate,651,0.8233486943164362,0.8417818740399385,0.059907834101382486,-0.018433179723502335,0.7634408602150538
14,51,000051.jpg,0.01,gate,652,0.8941717791411042,0.8052147239263804,0.17024539877300612,0.08895705521472386,0.7239263803680981
15,51,000051.jpg,0.01,gate,651,0.9431643625192012,0.8617511520737328,0.1382488479262673,0.08141321044546845,0.8049155145929339
16,59,000059.jpg,1e-05,raw,337,0.0,0.0,0.0,0.0,0.0
17,59,000059.jpg,1e-05,raw,311,0.0,0.0,0.0,0.0,0.0
18,59,000059.jpg,1e-05,raw,125,0.0,0.0,0.0,0.0,0.0
19,59,000059.jpg,1e-05,raw,336,0.0,0.0,0.0,0.0,0.0
20,59,000059.jpg,1e-05,raw,137,0.0,0.0,0.0,0.0,0.0
16,59,000059.jpg,3e-05,raw,337,0.0,0.0,0.0,0.0,0.0
17,59,000059.jpg,3e-05,raw,311,0.0,0.0,0.0,0.0,0.0
18,59,000059.jpg,3e-05,raw,125,0.0,0.0,0.0,0.0,0.0
19,59,000059.jpg,3e-05,raw,336,0.0,0.0,0.0,0.0,0.0
20,59,000059.jpg,3e-05,raw,137,0.0,0.0,0.0,0.0,0.0
16,59,000059.jpg,0.0001,raw,337,0.0,0.0,0.0,0.0,0.0
17,59,000059.jpg,0.0001,raw,311,0.0,0.0,0.0,0.0,0.0
18,59,000059.jpg,0.0001,raw,125,0.0,0.0,0.0,0.0,0.0
19,59,000059.jpg,0.0001,raw,336,0.0,0.0,0.0,0.0,0.0
20,59,000059.jpg,0.0001,raw,137,0.0,0.0,0.0,0.0,0.0
16,59,000059.jpg,0.0003,gate,337,0.20771513353115728,0.0,0.0,0.20771513353115728,0.20771513353115728
17,59,000059.jpg,0.0003,gate,311,0.28938906752411575,0.0,0.0,0.28938906752411575,0.28938906752411575
18,59,000059.jpg,0.0003,gate,125,0.08,0.0,0.0,0.08,0.08
19,59,000059.jpg,0.0003,gate,336,0.35714285714285715,0.0,0.0,0.35714285714285715,0.35714285714285715
20,59,000059.jpg,0.0003,gate,137,0.16058394160583941,0.0,0.0,0.16058394160583941,0.16058394160583941
