pfa,selected_policy,candidate_pd,raw_pd,lowrank_pd,candidate_empirical_pfa,beats_raw,ties_raw,beats_or_ties_raw,beats_lowrank
1e-05,raw,0.018806474915956044,0.018806474915956044,3.228579384713484e-05,9.690038849748544e-06,False,True,True,True
3e-05,raw,0.037334484859980546,0.037334484859980546,0.00035110800808759135,2.995969388627173e-05,False,True,True,True
0.0001,raw,0.042784730433799996,0.042784730433799996,0.0009746274017603829,8.171403252968282e-05,False,True,True,True
0.0003,gate,0.2629960409545295,0.16249238257051418,0.002467845367190369,0.00029994641567369186,True,False,True,True
0.001,gate,0.4512484512908264,0.3316638887431544,0.00443929665398104,0.0009999484680556908,True,False,True,True
0.003,gate,0.6096203594216,0.41216649783886966,0.006667016429433344,0.002999940716024611,True,False,True,True
0.01,gate,0.746853144030962,0.5284094807233632,0.019454208655014186,0.0099999612398446,True,False,True,True
