method,rank,alpha,gate_percentile,subset,variant,clutter_attenuation_db,target_loss_db,target_retention_ratio,score_mean,pfa_target,threshold,pd,empirical_pfa,target_count,bg_count,path,image_index
oracle_blend,5,0.0,,simMed,oracle_blend_k5_a0,12.13945219109975,0.0,1.0,3.468975943428399,0.001,325.70838044098514,0.7441860465116279,0.001007741285328203,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_blend,5,0.0,,simMed,oracle_blend_k5_a0,12.13945219109975,0.0,1.0,3.468975943428399,0.003,19.752091818886655,1.0,0.0030079550486311513,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_blend,5,0.0,,simMed,oracle_blend_k5_a0,12.13945219109975,0.0,1.0,3.468975943428399,0.01,0.6075203080581612,1.0,0.010001068816514741,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_blend,5,0.25,,simMed,oracle_blend_k5_a0.25,11.620692119298985,1.2580505294391697,0.7485054158590557,3.9091046345479117,1e-05,8230.110198261285,0.046511627906976744,1.526880735345762e-05,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_blend,5,0.25,,simMed,oracle_blend_k5_a0.25,11.620692119298985,1.2580505294391697,0.7485054158590557,3.9091046345479117,3e-05,5942.310010141718,0.09302325581395349,3.053761470691524e-05,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_blend,5,0.25,,simMed,oracle_blend_k5_a0.25,11.620692119298985,1.2580505294391697,0.7485054158590557,3.9091046345479117,0.0001,4039.117785406791,0.18604651162790697,0.00010688165147420336,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_blend,5,0.25,,simMed,oracle_blend_k5_a0.25,11.620692119298985,1.2580505294391697,0.7485054158590557,3.9091046345479117,0.0003,1900.9814299557506,0.32558139534883723,0.00030537614706915243,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_blend,5,0.25,,simMed,oracle_blend_k5_a0.25,11.620692119298985,1.2580505294391697,0.7485054158590557,3.9091046345479117,0.001,324.284875701703,0.7441860465116279,0.001007741285328203,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_blend,5,0.25,,simMed,oracle_blend_k5_a0.25,11.620692119298985,1.2580505294391697,0.7485054158590557,3.9091046345479117,0.003,22.45324262531771,1.0,0.0030079550486311513,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_blend,5,0.25,,simMed,oracle_blend_k5_a0.25,11.620692119298985,1.2580505294391697,0.7485054158590557,3.9091046345479117,0.01,5.719072925940293,1.0,0.010001068816514741,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_blend,5,0.5,,simMed,oracle_blend_k5_a0.5,10.32349819528482,2.4498969625101656,0.5688664271869527,5.2698309975779,1e-05,8200.857744049701,0.046511627906976744,1.526880735345762e-05,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_blend,5,0.5,,simMed,oracle_blend_k5_a0.5,10.32349819528482,2.4498969625101656,0.5688664271869527,5.2698309975779,3e-05,5918.389041189608,0.09302325581395349,3.053761470691524e-05,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_blend,5,0.5,,simMed,oracle_blend_k5_a0.5,10.32349819528482,2.4498969625101656,0.5688664271869527,5.2698309975779,0.0001,4010.1332664116094,0.18604651162790697,0.00010688165147420336,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
oracle_blend,5,0.5,,simMed,oracle_blend_k5_a0.5,10.32349819528482,2.4498969625101656,0.5688664271869527,5.2698309975779,0.0003,1888.63455791046,0.32558139534883723,0.00030537614706915243,43,65493,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
