"seed","rank","hidden","steps","lr","val_pd","val_pfa","train_pd","train_pfa","final_train_loss","final_gate_gap"
"7","30","16","150","0.02","0.976744186046512","0.0100010688165147","1","0.0100010688165147","0.00933873838584986","0.921081721782684"
"11","30","16","150","0.02","0.976744186046512","0.0100010688165147","1","0.0100010688165147","0.0264080021934205","0.500582098960876"
"23","30","16","150","0.02","0.976744186046512","0.0100010688165147","1","0.0100010688165147","0.00988235232762236","0.913001120090485"
