phase,asset,method,pfa_target,frames,alarm_budget_per_frame,finite_grid_alarm_rate,target_count,target_detections,pd_pooled,pd_macro,background_count,false_alarms,realized_pfa,pfa_cp95_upper
target_bearing,simWind_test.mat,kelly_steering_bank,3e-05,105,2,3.0517578125e-05,3943,168,0.042607151914785694,0.05106139375676056,6877337,42,6.107014968148282e-06,7.89897278749173e-06
target_bearing,simWind_test.mat,kelly_steering_bank,0.0001,105,7,0.0001068115234375,3943,459,0.11640882576718235,0.1325519917535872,6877337,276,4.013181264783157e-05,4.433864383583802e-05
target_bearing,simWind_test.mat,kelly_steering_bank,0.0003,105,20,0.00030517578125,3943,1022,0.25919350748161296,0.2875520940402532,6877337,1078,0.0001567467175158059,0.00016482954169273113
target_bearing,simWind_test.mat,kelly_steering_bank,0.001,105,66,0.001007080078125,3943,2102,0.5330966269338068,0.5637581563456022,6877337,4828,0.0007020159111004739,0.0007188576864929457
target_bearing,simWind_test.mat,kelly_steering_bank,0.003,105,197,0.0030059814453125,3943,3107,0.7879786964240426,0.7887159449575024,6877337,17578,0.002555931169288345,0.002587828240654087
target_bearing,simWind_test.mat,kelly_steering_bank,0.01,105,656,0.010009765625,3943,3418,0.8668526502662947,0.8582446665498972,6877337,65462,0.009518509853450544,0.009579636354139187
target_bearing,simWind_test.mat,low_rank_residual_k30,1e-05,105,1,1.52587890625e-05,3943,100,0.0253613999492772,0.029461911411815773,6877337,5,7.27025591446224e-07,1.5286484718572836e-06
target_bearing,simWind_test.mat,low_rank_residual_k30,3e-05,105,2,3.0517578125e-05,3943,189,0.04793304590413391,0.05551043797774058,6877337,21,3.053507484074141e-06,4.39711227988174e-06
target_bearing,simWind_test.mat,low_rank_residual_k30,0.0001,105,7,0.0001068115234375,3943,558,0.14151661171696678,0.16207658555734555,6877337,177,2.573670593719633e-05,2.9153490987265903e-05
target_bearing,simWind_test.mat,low_rank_residual_k30,0.0003,105,20,0.00030517578125,3943,1227,0.31118437737763127,0.3394330406640785,6877337,873,0.00012693866826651073,0.0001342359825345898
target_bearing,simWind_test.mat,low_rank_residual_k30,0.001,105,66,0.001007080078125,3943,2325,0.589652548820695,0.6016006977612922,6877337,4605,0.0006695905697219724,0.0006860444549871633
target_bearing,simWind_test.mat,low_rank_residual_k30,0.003,105,197,0.0030059814453125,3943,3093,0.7844281004311437,0.7667280054423459,6877337,17592,0.0025579668409443945,0.002589876487997605
target_bearing,simWind_test.mat,low_rank_residual_k30,0.01,105,656,0.010009765625,3943,3391,0.8600050722799899,0.8378319466649824,6877337,65489,0.009522435791644353,0.00958357472843185
target_bearing,simWind_test.mat,raw,1e-05,105,1,1.52587890625e-05,3943,101,0.02561501394876997,0.03036629270728116,6877337,4,5.816204731569793e-07,1.3309680181983557e-06
target_bearing,simWind_test.mat,raw,3e-05,105,2,3.0517578125e-05,3943,179,0.04539690590920619,0.052323074155180255,6877337,31,4.507558666966589e-06,6.083400799758341e-06
target_bearing,simWind_test.mat,raw,0.0001,105,7,0.0001068115234375,3943,489,0.1240172457519655,0.13541018347822936,6877337,246,3.5769659099154224e-05,3.97546706869155e-05
target_bearing,simWind_test.mat,raw,0.0003,105,20,0.00030517578125,3943,922,0.2338321075323358,0.24217625850613522,6877337,1178,0.00017128722934473038,0.00017972598827547916
target_bearing,simWind_test.mat,raw,0.001,105,66,0.001007080078125,3943,1474,0.37382703525234595,0.37043885951757444,6877337,5456,0.0007933303253861197,0.0008112186074572636
target_bearing,simWind_test.mat,raw,0.003,105,197,0.0030059814453125,3943,1980,0.5021557189956886,0.493464142327081,6877337,18705,0.002719802737600324,0.0027526965028107217
target_bearing,simWind_test.mat,raw,0.01,105,656,0.010009765625,3943,2664,0.6756276946487446,0.6698038238259513,6877337,66216,0.009628145312640633,0.00968961811615561
target_bearing,simWind_test.mat,tpsscs_rank_fusion_budget,1e-05,105,1,1.52587890625e-05,3943,100,0.0253613999492772,0.029525847131030993,6877337,5,7.27025591446224e-07,1.5286484718572836e-06
target_bearing,simWind_test.mat,tpsscs_rank_fusion_budget,3e-05,105,2,3.0517578125e-05,3943,201,0.05097641389804717,0.05902303191145347,6877337,9,1.3086460646032032e-06,2.283617738525517e-06
target_bearing,simWind_test.mat,tpsscs_rank_fusion_budget,0.0001,105,7,0.0001068115234375,3943,599,0.15191478569617042,0.17460627063417208,6877337,136,1.9775096087337295e-05,2.280007729750138e-05
target_bearing,simWind_test.mat,tpsscs_rank_fusion_budget,0.0003,105,20,0.00030517578125,3943,1396,0.3540451432919097,0.393036858274205,6877337,704,0.00010236520327562834,0.00010894224051189171
target_bearing,simWind_test.mat,tpsscs_rank_fusion_budget,0.001,105,66,0.001007080078125,3943,2670,0.6771493786457012,0.7045693663193668,6877337,4260,0.0006194258039121829,0.0006352605539416244
target_bearing,simWind_test.mat,tpsscs_rank_fusion_budget,0.003,105,197,0.0030059814453125,3943,3421,0.867613492264773,0.8645446146531269,6877337,17264,0.0025102739621455225,0.002541887641202961
target_bearing,simWind_test.mat,tpsscs_rank_fusion_budget,0.01,105,656,0.010009765625,3943,3632,0.921126046157748,0.9135046598612171,6877337,65248,0.009487393158136645,0.009548420997707512
h0_audit,combined,ace_steering_bank,1e-05,8,1,1.52587890625e-05,0,0,,,524288,8,1.52587890625e-05,2.7531740448345156e-05
h0_audit,combined,ace_steering_bank,3e-05,8,2,3.0517578125e-05,0,0,,,524288,16,3.0517578125e-05,4.6350462531848165e-05
h0_audit,combined,ace_steering_bank,0.0001,8,7,0.0001068115234375,0,0,,,524288,56,0.0001068115234375,0.0001334370718094466
h0_audit,combined,ace_steering_bank,0.0003,8,20,0.00030517578125,0,0,,,524288,160,0.00030517578125,0.00034793818921704096
h0_audit,combined,ace_steering_bank,0.001,8,66,0.001007080078125,0,0,,,524288,528,0.001007080078125,0.001082172851561894
h0_audit,combined,ace_steering_bank,0.003,8,197,0.0030059814453125,0,0,,,524288,1576,0.0030059814453125,0.0031333508065120768
h0_audit,combined,ace_steering_bank,0.01,8,656,0.010009765625,0,0,,,524288,5248,0.010009765625,0.01023886823741125
h0_audit,combined,amf_steering_bank,1e-05,8,1,1.52587890625e-05,0,0,,,524288,8,1.52587890625e-05,2.7531740448345156e-05
h0_audit,combined,amf_steering_bank,3e-05,8,2,3.0517578125e-05,0,0,,,524288,16,3.0517578125e-05,4.6350462531848165e-05
h0_audit,combined,amf_steering_bank,0.0001,8,7,0.0001068115234375,0,0,,,524288,56,0.0001068115234375,0.0001334370718094466
h0_audit,combined,amf_steering_bank,0.0003,8,20,0.00030517578125,0,0,,,524288,160,0.00030517578125,0.00034793818921704096
h0_audit,combined,amf_steering_bank,0.001,8,66,0.001007080078125,0,0,,,524288,528,0.001007080078125,0.001082172851561894
h0_audit,combined,amf_steering_bank,0.003,8,197,0.0030059814453125,0,0,,,524288,1576,0.0030059814453125,0.0031333508065120768
h0_audit,combined,amf_steering_bank,0.01,8,656,0.010009765625,0,0,,,524288,5248,0.010009765625,0.01023886823741125
h0_audit,combined,anmf_steering_bank,1e-05,8,1,1.52587890625e-05,0,0,,,524288,8,1.52587890625e-05,2.7531740448345156e-05
h0_audit,combined,anmf_steering_bank,3e-05,8,2,3.0517578125e-05,0,0,,,524288,16,3.0517578125e-05,4.6350462531848165e-05
h0_audit,combined,anmf_steering_bank,0.0001,8,7,0.0001068115234375,0,0,,,524288,56,0.0001068115234375,0.0001334370718094466
h0_audit,combined,anmf_steering_bank,0.0003,8,20,0.00030517578125,0,0,,,524288,160,0.00030517578125,0.00034793818921704096
h0_audit,combined,anmf_steering_bank,0.001,8,66,0.001007080078125,0,0,,,524288,528,0.001007080078125,0.001082172851561894
h0_audit,combined,anmf_steering_bank,0.003,8,197,0.0030059814453125,0,0,,,524288,1576,0.0030059814453125,0.0031333508065120768
h0_audit,combined,anmf_steering_bank,0.01,8,656,0.010009765625,0,0,,,524288,5248,0.010009765625,0.01023886823741125
h0_audit,combined,kelly_steering_bank,1e-05,8,1,1.52587890625e-05,0,0,,,524288,8,1.52587890625e-05,2.7531740448345156e-05
h0_audit,combined,kelly_steering_bank,3e-05,8,2,3.0517578125e-05,0,0,,,524288,16,3.0517578125e-05,4.6350462531848165e-05
h0_audit,combined,kelly_steering_bank,0.0001,8,7,0.0001068115234375,0,0,,,524288,56,0.0001068115234375,0.0001334370718094466
h0_audit,combined,kelly_steering_bank,0.0003,8,20,0.00030517578125,0,0,,,524288,160,0.00030517578125,0.00034793818921704096
h0_audit,combined,kelly_steering_bank,0.001,8,66,0.001007080078125,0,0,,,524288,528,0.001007080078125,0.001082172851561894
h0_audit,combined,kelly_steering_bank,0.003,8,197,0.0030059814453125,0,0,,,524288,1576,0.0030059814453125,0.0031333508065120768
h0_audit,combined,kelly_steering_bank,0.01,8,656,0.010009765625,0,0,,,524288,5248,0.010009765625,0.01023886823741125
h0_audit,combined,low_rank_residual_k30,1e-05,8,1,1.52587890625e-05,0,0,,,524288,8,1.52587890625e-05,2.7531740448345156e-05
h0_audit,combined,low_rank_residual_k30,3e-05,8,2,3.0517578125e-05,0,0,,,524288,16,3.0517578125e-05,4.6350462531848165e-05
h0_audit,combined,low_rank_residual_k30,0.0001,8,7,0.0001068115234375,0,0,,,524288,56,0.0001068115234375,0.0001334370718094466
h0_audit,combined,low_rank_residual_k30,0.0003,8,20,0.00030517578125,0,0,,,524288,160,0.00030517578125,0.00034793818921704096
h0_audit,combined,low_rank_residual_k30,0.001,8,66,0.001007080078125,0,0,,,524288,528,0.001007080078125,0.001082172851561894
h0_audit,combined,low_rank_residual_k30,0.003,8,197,0.0030059814453125,0,0,,,524288,1576,0.0030059814453125,0.0031333508065120768
h0_audit,combined,low_rank_residual_k30,0.01,8,656,0.010009765625,0,0,,,524288,5248,0.010009765625,0.01023886823741125
h0_audit,combined,raw,1e-05,8,1,1.52587890625e-05,0,0,,,524288,8,1.52587890625e-05,2.7531740448345156e-05
h0_audit,combined,raw,3e-05,8,2,3.0517578125e-05,0,0,,,524288,16,3.0517578125e-05,4.6350462531848165e-05
h0_audit,combined,raw,0.0001,8,7,0.0001068115234375,0,0,,,524288,56,0.0001068115234375,0.0001334370718094466
h0_audit,combined,raw,0.0003,8,20,0.00030517578125,0,0,,,524288,160,0.00030517578125,0.00034793818921704096
h0_audit,combined,raw,0.001,8,66,0.001007080078125,0,0,,,524288,528,0.001007080078125,0.001082172851561894
h0_audit,combined,raw,0.003,8,197,0.0030059814453125,0,0,,,524288,1576,0.0030059814453125,0.0031333508065120768
h0_audit,combined,raw,0.01,8,656,0.010009765625,0,0,,,524288,5248,0.010009765625,0.01023886823741125
h0_audit,combined,tpsscs_rank_fusion_budget,1e-05,8,1,1.52587890625e-05,0,0,,,524288,8,1.52587890625e-05,2.7531740448345156e-05
h0_audit,combined,tpsscs_rank_fusion_budget,3e-05,8,2,3.0517578125e-05,0,0,,,524288,16,3.0517578125e-05,4.6350462531848165e-05
h0_audit,combined,tpsscs_rank_fusion_budget,0.0001,8,7,0.0001068115234375,0,0,,,524288,56,0.0001068115234375,0.0001334370718094466
h0_audit,combined,tpsscs_rank_fusion_budget,0.0003,8,20,0.00030517578125,0,0,,,524288,160,0.00030517578125,0.00034793818921704096
h0_audit,combined,tpsscs_rank_fusion_budget,0.001,8,66,0.001007080078125,0,0,,,524288,528,0.001007080078125,0.001082172851561894
h0_audit,combined,tpsscs_rank_fusion_budget,0.003,8,197,0.0030059814453125,0,0,,,524288,1576,0.0030059814453125,0.0031333508065120768
h0_audit,combined,tpsscs_rank_fusion_budget,0.01,8,656,0.010009765625,0,0,,,524288,5248,0.010009765625,0.01023886823741125
target_bearing,combined,ace_steering_bank,1e-05,210,1,1.52587890625e-05,7886,22,0.002789753994420492,0.003455342803272792,13754674,188,1.3668081119189011e-05,1.542507634964721e-05
target_bearing,combined,ace_steering_bank,3e-05,210,2,3.0517578125e-05,7886,40,0.00507227998985544,0.00591600257228803,13754674,380,2.7626972474956512e-05,3.0074441522516265e-05
target_bearing,combined,ace_steering_bank,0.0001,210,7,0.0001068115234375,7886,119,0.015090032969819934,0.017417530446457902,13754674,1351,9.822115740438486e-05,0.00010273166057231807
target_bearing,combined,ace_steering_bank,0.0003,210,20,0.00030517578125,7886,318,0.04032462591935075,0.04361597069271908,13754674,3882,0.00028223133459942415,0.0002897958345368939
target_bearing,combined,ace_steering_bank,0.001,210,66,0.001007080078125,7886,764,0.0968805478062389,0.1009531169042844,13754674,13096,0.0009521127145579749,0.0009659055279848651
target_bearing,combined,ace_steering_bank,0.003,210,197,0.0030059814453125,7886,1505,0.19084453461831094,0.19492424114968293,13754674,39865,0.002898287520300372,0.0029222433237064407
target_bearing,combined,ace_steering_bank,0.01,210,656,0.010009765625,7886,2585,0.3277960943444078,0.33017050065935344,13754674,135175,0.009827568432374333,0.00987143131077238
target_bearing,combined,amf_steering_bank,1e-05,210,1,1.52587890625e-05,7886,192,0.024346943951306113,0.02928365528311522,13754674,18,1.3086460646032032e-06,1.940559396611557e-06
target_bearing,combined,amf_steering_bank,3e-05,210,2,3.0517578125e-05,7886,336,0.042607151914785694,0.05125516823624932,13754674,84,6.107014968148282e-06,7.321992964121412e-06
target_bearing,combined,amf_steering_bank,0.0001,210,7,0.0001068115234375,7886,918,0.11640882576718235,0.13241762876208135,13754674,552,4.013181264783157e-05,4.305733081374978e-05
target_bearing,combined,amf_steering_bank,0.0003,210,20,0.00030517578125,7886,2058,0.2609688054780624,0.28937961161329995,13754674,2142,0.00015572888168778119,0.0001613780491391947
target_bearing,combined,amf_steering_bank,0.001,210,66,0.001007080078125,7886,4268,0.5412122749175754,0.5729524521585776,13754674,9592,0.0006973629473152181,0.0007091852654651155
target_bearing,combined,amf_steering_bank,0.003,210,197,0.0030059814453125,7886,6344,0.8044636063910728,0.80461969891816,13754674,35026,0.0025464798365995443,0.002568945828077793
target_bearing,combined,amf_steering_bank,0.01,210,656,0.010009765625,7886,6921,0.8776312452447375,0.8681120547704209,13754674,130839,0.009512330135923251,0.00955549251045214
target_bearing,combined,anmf_steering_bank,1e-05,210,1,1.52587890625e-05,7886,22,0.002789753994420492,0.003455342803272792,13754674,188,1.3668081119189011e-05,1.542507634964721e-05
target_bearing,combined,anmf_steering_bank,3e-05,210,2,3.0517578125e-05,7886,40,0.00507227998985544,0.00591600257228803,13754674,380,2.7626972474956512e-05,3.0074441522516265e-05
target_bearing,combined,anmf_steering_bank,0.0001,210,7,0.0001068115234375,7886,119,0.015090032969819934,0.017417530446457902,13754674,1351,9.822115740438486e-05,0.00010273166057231807
target_bearing,combined,anmf_steering_bank,0.0003,210,20,0.00030517578125,7886,318,0.04032462591935075,0.04361597069271908,13754674,3882,0.00028223133459942415,0.0002897958345368939
target_bearing,combined,anmf_steering_bank,0.001,210,66,0.001007080078125,7886,764,0.0968805478062389,0.1009531169042844,13754674,13096,0.0009521127145579749,0.0009659055279848651
target_bearing,combined,anmf_steering_bank,0.003,210,197,0.0030059814453125,7886,1505,0.19084453461831094,0.19492424114968293,13754674,39865,0.002898287520300372,0.0029222433237064407
target_bearing,combined,anmf_steering_bank,0.01,210,656,0.010009765625,7886,2585,0.3277960943444078,0.33017050065935344,13754674,135175,0.009827568432374333,0.00987143131077238
target_bearing,combined,kelly_steering_bank,1e-05,210,1,1.52587890625e-05,7886,192,0.024346943951306113,0.02928365528311522,13754674,18,1.3086460646032032e-06,1.940559396611557e-06
target_bearing,combined,kelly_steering_bank,3e-05,210,2,3.0517578125e-05,7886,337,0.042733958914532084,0.05127784397321077,13754674,83,6.03431240900366e-06,7.2427764023723405e-06
target_bearing,combined,kelly_steering_bank,0.0001,210,7,0.0001068115234375,7886,918,0.11640882576718235,0.13241762876208135,13754674,552,4.013181264783157e-05,4.305733081374978e-05
target_bearing,combined,kelly_steering_bank,0.0003,210,20,0.00030517578125,7886,2051,0.2600811564798377,0.28844459536724476,13754674,2149,0.00015623779960179354,0.00016189599935594485
target_bearing,combined,kelly_steering_bank,0.001,210,66,0.001007080078125,7886,4266,0.5409586609180826,0.5727426460967258,13754674,9594,0.0006975083524335073,0.000709331890189776
target_bearing,combined,kelly_steering_bank,0.003,210,197,0.0030059814453125,7886,6344,0.8044636063910728,0.80461969891816,13754674,35026,0.0025464798365995443,0.002568945828077793
target_bearing,combined,kelly_steering_bank,0.01,210,656,0.010009765625,7886,6920,0.8775044382449911,0.8680038296621958,13754674,130840,0.009512402838482394,0.009555565375933054
target_bearing,combined,low_rank_residual_k30,1e-05,210,1,1.52587890625e-05,7886,198,0.02510778594978443,0.029021372233181353,13754674,12,8.724307097354689e-07,1.4135241642359888e-06
target_bearing,combined,low_rank_residual_k30,3e-05,210,2,3.0517578125e-05,7886,378,0.04793304590413391,0.055137355328341846,13754674,42,3.053507484074141e-06,3.949488163084941e-06
target_bearing,combined,low_rank_residual_k30,0.0001,210,7,0.0001068115234375,7886,1101,0.139614506720771,0.15786319688453354,13754674,369,2.6827244324365666e-05,2.924076124067392e-05
target_bearing,combined,low_rank_residual_k30,0.0003,210,20,0.00030517578125,7886,2403,0.30471722039056554,0.3299485848145006,13754674,1797,0.00013064649878288646,0.0001358305893549311
target_bearing,combined,low_rank_residual_k30,0.001,210,66,0.001007080078125,7886,4576,0.5802688308394623,0.5903550378701363,13754674,9284,0.0006749705590986744,0.0006866035124486063
target_bearing,combined,low_rank_residual_k30,0.003,210,197,0.0030059814453125,7886,6179,0.7835404514329191,0.764833133851463,13754674,35191,0.002558475758858407,0.002580994199322414
target_bearing,combined,low_rank_residual_k30,0.01,210,656,0.010009765625,7886,6789,0.8608927212782146,0.836674015141158,13754674,130971,0.00952192687373034,0.009565110748418768
target_bearing,combined,raw,1e-05,210,1,1.52587890625e-05,7886,200,0.0253613999492772,0.030082445835198993,13754674,10,7.27025591446224e-07,1.2331964351676126e-06
target_bearing,combined,raw,3e-05,210,2,3.0517578125e-05,7886,359,0.045523712908952574,0.05243381612638734,13754674,61,4.4348561078219665e-06,5.488656090973179e-06
target_bearing,combined,raw,0.0001,210,7,0.0001068115234375,7886,944,0.11970580776058838,0.13061303794852502,13754674,526,3.8241546110071385e-05,4.1100149102906945e-05
target_bearing,combined,raw,0.0003,210,20,0.00030517578125,7886,1780,0.2257164595485671,0.23331933189468915,13754674,2420,0.0001759401931299862,0.00018193741451452087
target_bearing,combined,raw,0.001,210,66,0.001007080078125,7886,2821,0.3577225462845549,0.3550841543116587,13754674,11039,0.0008025635503974867,0.0008152372512943082
target_bearing,combined,raw,0.003,210,197,0.0030059814453125,7886,3801,0.4819934060360132,0.47464042636668263,13754674,37569,0.002731362444504319,0.0027546234544651494
target_bearing,combined,raw,0.01,210,656,0.010009765625,7886,5157,0.6539436976921126,0.649140103204958,13754674,132603,0.009640577450254364,0.00968402622925836
target_bearing,combined,tpsscs_rank_fusion_budget,1e-05,210,1,1.52587890625e-05,7886,199,0.025234592949530815,0.029349480287997484,13754674,11,7.997281505908464e-07,1.3237325349032518e-06
target_bearing,combined,tpsscs_rank_fusion_budget,3e-05,210,2,3.0517578125e-05,7886,400,0.0507227998985544,0.05868350283382915,13754674,20,1.454051182892448e-06,2.112882447563732e-06
target_bearing,combined,tpsscs_rank_fusion_budget,0.0001,210,7,0.0001068115234375,7886,1196,0.15166117169667764,0.17345790680192583,13754674,274,1.9920501205626538e-05,2.2016739001257555e-05
target_bearing,combined,tpsscs_rank_fusion_budget,0.0003,210,20,0.00030517578125,7886,2768,0.3510017752979965,0.38847791561416045,13754674,1432,0.00010411006469509928,0.00010875036012496162
target_bearing,combined,tpsscs_rank_fusion_budget,0.001,210,66,0.001007080078125,7886,5317,0.6742328176515343,0.7018458030206064,13754674,8543,0.0006210979627725092,0.0006322620097205721
target_bearing,combined,tpsscs_rank_fusion_budget,0.003,210,197,0.0030059814453125,7886,6870,0.8711640882576718,0.86910384788217,13754674,34500,0.002508238290489473,0.0025305362446578876
target_bearing,combined,tpsscs_rank_fusion_budget,0.01,210,656,0.010009765625,7886,7317,0.9278468171443064,0.9196025266373508,13754674,130443,0.00948353992250198,0.009526637729490351
