phase,asset,method,pfa_target,frames,alarm_budget_per_frame,finite_grid_alarm_rate,target_count,target_detections,pd_pooled,pd_macro,background_count,false_alarms,realized_pfa,pfa_cp95_upper
h0_audit,simMed_test.mat,raw,0.0001,4,7,0.0001068115234375,0,0,,,262144,28,0.0001068115234375,0.00014643913605923836
h0_audit,simMed_test.mat,raw,0.0003,4,20,0.00030517578125,0,0,,,262144,80,0.00030517578125,0.0003675347451123681
h0_audit,simMed_test.mat,raw,0.001,4,66,0.001007080078125,0,0,,,262144,264,0.001007080078125,0.0011151001898550496
h0_audit,simMed_test.mat,raw,0.003,4,197,0.0030059814453125,0,0,,,262144,788,0.0030059814453125,0.003187896074551341
h0_audit,simMed_test.mat,raw,0.01,4,656,0.010009765625,0,0,,,262144,2624,0.010009765625,0.010335516436312845
h0_audit,simMed_test.mat,tpsscs_rank_fusion_budget,1e-05,4,1,1.52587890625e-05,0,0,,,262144,4,1.52587890625e-05,3.491756077531658e-05
h0_audit,simMed_test.mat,tpsscs_rank_fusion_budget,3e-05,4,2,3.0517578125e-05,0,0,,,262144,8,3.0517578125e-05,5.506314299479093e-05
h0_audit,simMed_test.mat,tpsscs_rank_fusion_budget,0.0001,4,7,0.0001068115234375,0,0,,,262144,28,0.0001068115234375,0.00014643913605923836
h0_audit,simMed_test.mat,tpsscs_rank_fusion_budget,0.0003,4,20,0.00030517578125,0,0,,,262144,80,0.00030517578125,0.0003675347451123681
h0_audit,simMed_test.mat,tpsscs_rank_fusion_budget,0.001,4,66,0.001007080078125,0,0,,,262144,264,0.001007080078125,0.0011151001898550496
h0_audit,simMed_test.mat,tpsscs_rank_fusion_budget,0.003,4,197,0.0030059814453125,0,0,,,262144,788,0.0030059814453125,0.003187896074551341
h0_audit,simMed_test.mat,tpsscs_rank_fusion_budget,0.01,4,656,0.010009765625,0,0,,,262144,2624,0.010009765625,0.010335516436312845
target_bearing,simMed_test.mat,ace_steering_bank,1e-05,105,1,1.52587890625e-05,3943,12,0.003043367993913264,0.0037373306116402676,6877337,93,1.3522676000899767e-05,1.6066577842442144e-05
target_bearing,simMed_test.mat,ace_steering_bank,3e-05,105,2,3.0517578125e-05,3943,21,0.005325893989348212,0.006098007666805671,6877337,189,2.748156735666727e-05,3.100422295534944e-05
target_bearing,simMed_test.mat,ace_steering_bank,0.0001,105,7,0.0001068115234375,3943,62,0.015724067968551865,0.017941462947370212,6877337,673,9.785764460866176e-05,0.00010429349140109565
target_bearing,simMed_test.mat,ace_steering_bank,0.0003,105,20,0.00030517578125,3943,166,0.042099923915800155,0.045319326088247416,6877337,1934,0.00028121349877139945,0.00029196011659185517
target_bearing,simMed_test.mat,ace_steering_bank,0.001,105,66,0.001007080078125,3943,399,0.10119198579761603,0.10545689020972865,6877337,6531,0.0009496408275470579,0.0009691889833046458
target_bearing,simMed_test.mat,ace_steering_bank,0.003,105,197,0.0030059814453125,3943,762,0.19325386761349225,0.19675305310375432,6877337,19923,0.002896906171676624,0.0029308436360278548
target_bearing,simMed_test.mat,ace_steering_bank,0.01,105,656,0.010009765625,3943,1303,0.33045904133908194,0.3320082294772826,6877337,67577,0.009826041678632297,0.009888134470969515
target_bearing,simMed_test.mat,amf_steering_bank,1e-05,105,1,1.52587890625e-05,3943,96,0.024346943951306113,0.02928365528311522,6877337,9,1.3086460646032032e-06,2.283617738525517e-06
