dataset,k,raw_power,residual_power,clutter_attenuation_db,targ_power,targ_residual_power,target_retention_ratio,target_loss_db,midp_range,midp_dop
simMed,1,9.462268270737312,5.705352808869963,2.1971275126096943,0.5781626572380665,0.4672351702463852,0.8081379251966917,0.9251451170071419,513.0,33.0
simMed,2,9.462268270737312,3.7120858643734524,4.063772435017068,0.5781626572380665,0.37233059897498455,0.6439893589011721,1.9112130874062772,513.0,33.0
simMed,3,9.462268270737312,2.670283419515299,5.494378977267498,0.5781626572380665,0.3266449265514714,0.5649706401176405,2.479741206163211,513.0,33.0
simMed,5,9.462268270737312,1.7921794565615505,7.226137620688352,0.5781626572380665,0.24580888112846014,0.4251552362500987,3.7145246774462324,513.0,33.0
simMed,8,9.462268270737312,1.356213558576517,8.436671749758585,0.5781626572380665,0.1472774889259895,0.25473365856987756,5.939136668723249,513.0,33.0
simMed,10,9.462268270737312,1.1886788245219866,9.009307307196226,0.5781626572380665,0.10349134897924984,0.17900040357925928,7.471459898466558,513.0,33.0
simMed,15,9.462268270737312,0.9083401632155287,10.17746739443356,0.5781626572380665,0.05475619460430195,0.09470724876418406,10.236167794148143,513.0,33.0
simMed,20,9.462268270737312,0.7065778817282089,11.26835218414421,0.5781626572380665,0.023520713165988468,0.04068182694349076,13.90599551971988,513.0,33.0
simMed,30,9.462268270737312,0.4796518418656334,12.950691403407578,0.5781626572380665,0.006449502750589133,0.011155170038805024,19.525238053575617,513.0,33.0
simNoiseOnly,1,15.000100369116822,14.787436671718213,0.06201267287523713,0.5781626572380665,0.4672351702463852,0.8081379251966917,0.9251451170071419,513.0,33.0
simNoiseOnly,2,15.000100369116822,14.58321985111023,0.12240741926521463,0.5781626572380665,0.37233059897498455,0.6439893589011721,1.9112130874062772,513.0,33.0
simNoiseOnly,3,15.000100369116822,14.403454041633665,0.17627513813170642,0.5781626572380665,0.3266449265514714,0.5649706401176405,2.479741206163211,513.0,33.0
simNoiseOnly,5,15.000100369116822,14.06233891644439,0.2803660437231465,0.5781626572380665,0.24580888112846014,0.4251552362500987,3.7145246774462324,513.0,33.0
simNoiseOnly,8,15.000100369116822,13.576712004179925,0.43299559395654225,0.5781626572380665,0.1472774889259895,0.25473365856987756,5.939136668723249,513.0,33.0
simNoiseOnly,10,15.000100369116822,13.265673962992892,0.5336484580553196,0.5781626572380665,0.10349134897924984,0.17900040357925928,7.471459898466558,513.0,33.0
simNoiseOnly,15,15.000100369116822,12.533911938279845,0.780075259543467,0.5781626572380665,0.05475619460430195,0.09470724876418406,10.236167794148143,513.0,33.0
simNoiseOnly,20,15.000100369116822,11.854129506354267,1.0222449743377975,0.5781626572380665,0.023520713165988468,0.04068182694349076,13.90599551971988,513.0,33.0
simNoiseOnly,30,15.000100369116822,10.604943252242878,1.5058581610939692,0.5781626572380665,0.006449502750589133,0.011155170038805024,19.525238053575617,513.0,33.0
simWind,1,7.805641276278486,4.9109330449890685,2.012445754812915,0.5781626572380665,0.4672351702463852,0.8081379251966917,0.9251451170071419,513.0,33.0
simWind,2,7.805641276278486,3.419896820220918,3.5839558513995473,0.5781626572380665,0.37233059897498455,0.6439893589011721,1.9112130874062772,513.0,33.0
simWind,3,7.805641276278486,2.6053036448004465,4.765502414890924,0.5781626572380665,0.3266449265514714,0.5649706401176405,2.479741206163211,513.0,33.0
simWind,5,7.805641276278486,1.9169877057388238,6.097892609234123,0.5781626572380665,0.24580888112846014,0.4251552362500987,3.7145246774462324,513.0,33.0
simWind,8,7.805641276278486,1.5433066376019722,7.039563644934215,0.5781626572380665,0.1472774889259895,0.25473365856987756,5.939136668723249,513.0,33.0
simWind,10,7.805641276278486,1.3781523993834177,7.531113429914611,0.5781626572380665,0.10349134897924984,0.17900040357925928,7.471459898466558,513.0,33.0
simWind,15,7.805641276278486,1.114414842852102,8.453617007321315,0.5781626572380665,0.05475619460430195,0.09470724876418406,10.236167794148143,513.0,33.0
simWind,20,7.805641276278486,0.9089010154214515,9.338919999236165,0.5781626572380665,0.023520713165988468,0.04068182694349076,13.90599551971988,513.0,33.0
simWind,30,7.805641276278486,0.6472594001864905,10.813302221020933,0.5781626572380665,0.006449502750589133,0.011155170038805024,19.525238053575617,513.0,33.0
