dataset,k,raw_power,residual_power,clutter_attenuation_db,targ_power,targ_residual_power,target_retention_ratio,target_loss_db,midp_range,midp_dop
simMed,1,9.462268270737312,5.705352808869963,2.1971275126096943,0.5781626572380665,0.4672351702463852,0.8081379251966917,0.9251451170071419,513.0,33.0
simMed,3,9.462268270737312,2.670283419515299,5.494378977267498,0.5781626572380665,0.3266449265514714,0.5649706401176405,2.479741206163211,513.0,33.0
simMed,5,9.462268270737312,1.7921794565615505,7.226137620688352,0.5781626572380665,0.24580888112846014,0.4251552362500987,3.7145246774462324,513.0,33.0
simMed,10,9.462268270737312,1.1886788245219866,9.009307307196226,0.5781626572380665,0.10349134897924984,0.17900040357925928,7.471459898466558,513.0,33.0
simMed,20,9.462268270737312,0.7065778817282089,11.26835218414421,0.5781626572380665,0.023520713165988468,0.04068182694349076,13.90599551971988,513.0,33.0
simNoiseOnly,1,15.000100369116822,14.787436671718213,0.06201267287523713,0.5781626572380665,0.4672351702463852,0.8081379251966917,0.9251451170071419,513.0,33.0
simNoiseOnly,3,15.000100369116822,14.403454041633665,0.17627513813170642,0.5781626572380665,0.3266449265514714,0.5649706401176405,2.479741206163211,513.0,33.0
simNoiseOnly,5,15.000100369116822,14.06233891644439,0.2803660437231465,0.5781626572380665,0.24580888112846014,0.4251552362500987,3.7145246774462324,513.0,33.0
simNoiseOnly,10,15.000100369116822,13.265673962992892,0.5336484580553196,0.5781626572380665,0.10349134897924984,0.17900040357925928,7.471459898466558,513.0,33.0
simNoiseOnly,20,15.000100369116822,11.854129506354267,1.0222449743377975,0.5781626572380665,0.023520713165988468,0.04068182694349076,13.90599551971988,513.0,33.0
simWind,1,7.805641276278486,4.9109330449890685,2.012445754812915,0.5781626572380665,0.4672351702463852,0.8081379251966917,0.9251451170071419,513.0,33.0
simWind,3,7.805641276278486,2.6053036448004465,4.765502414890924,0.5781626572380665,0.3266449265514714,0.5649706401176405,2.479741206163211,513.0,33.0
simWind,5,7.805641276278486,1.9169877057388238,6.097892609234123,0.5781626572380665,0.24580888112846014,0.4251552362500987,3.7145246774462324,513.0,33.0
simWind,10,7.805641276278486,1.3781523993834177,7.531113429914611,0.5781626572380665,0.10349134897924984,0.17900040357925928,7.471459898466558,513.0,33.0
simWind,20,7.805641276278486,0.9089010154214515,9.338919999236165,0.5781626572380665,0.023520713165988468,0.04068182694349076,13.90599551971988,513.0,33.0
