pfa_target,threshold,pd,empirical_pfa,target_count,background_count,max_false_alarms,false_alarms,detections,threshold_policy,subset,image_index,path,item_id,method,residual_threshold,gate_threshold
1e-05,12193.851645259017,0.023255813953488372,0.0,43,65493,0,0,1,conservative_topk_strict_gt,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,tpsscs_trainable_gate,,
3e-05,6191.677478569506,0.09302325581395349,1.526880735345762e-05,43,65493,1,1,5,conservative_topk_strict_gt,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,tpsscs_trainable_gate,,
0.0001,2962.1608637277636,0.27906976744186046,9.161284412074573e-05,43,65493,6,6,18,conservative_topk_strict_gt,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,tpsscs_trainable_gate,,
0.0003,1485.8574407881529,0.37209302325581395,0.0002901073397156948,43,65493,19,19,35,conservative_topk_strict_gt,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,tpsscs_trainable_gate,,
0.001,302.1913349773973,0.7441860465116279,0.0009924724779747454,43,65493,65,65,97,conservative_topk_strict_gt,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,tpsscs_trainable_gate,,
0.003,40.902411071718035,1.0,0.0029926862412776936,43,65493,196,196,239,conservative_topk_strict_gt,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,tpsscs_trainable_gate,,
0.01,14.344495207884446,1.0,0.009985800009161284,43,65493,654,654,697,conservative_topk_strict_gt,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,tpsscs_trainable_gate,,
1e-05,,0.16279069767441862,0.0,43,65493,0,0,7,residual_cfar_plus_zero_false_gate_union,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,tpsscs_finished_detector,890.9266426032261,12193.851645259017
3e-05,,0.16279069767441862,1.526880735345762e-05,43,65493,1,1,8,residual_cfar_plus_zero_false_gate_union,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,tpsscs_finished_detector,756.4363690708126,12193.851645259017
0.0001,,0.2558139534883721,9.161284412074573e-05,43,65493,6,6,17,residual_cfar_plus_zero_false_gate_union,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,tpsscs_finished_detector,401.58019833356775,12193.851645259017
0.0003,,0.4883720930232558,0.0002901073397156948,43,65493,19,19,40,residual_cfar_plus_zero_false_gate_union,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,tpsscs_finished_detector,168.71687561749454,12193.851645259017
0.001,,0.7906976744186046,0.0009924724779747454,43,65493,65,65,99,residual_cfar_plus_zero_false_gate_union,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,tpsscs_finished_detector,70.99898805119366,12193.851645259017
0.003,,0.9767441860465116,0.0029926862412776936,43,65493,196,196,238,residual_cfar_plus_zero_false_gate_union,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,tpsscs_finished_detector,25.799426673870272,12193.851645259017
0.01,,0.9767441860465116,0.009985800009161284,43,65493,654,654,696,residual_cfar_plus_zero_false_gate_union,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,tpsscs_finished_detector,13.510826675563372,12193.851645259017
1e-05,12784.938681344473,0.023255813953488372,0.0,43,65493,0,0,1,conservative_topk_strict_gt,simNoiseOnly,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat#0,raw,,
3e-05,6203.716983113604,0.11627906976744186,1.526880735345762e-05,43,65493,1,1,6,conservative_topk_strict_gt,simNoiseOnly,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat#0,raw,,
0.0001,4437.404017689059,0.18604651162790697,9.161284412074573e-05,43,65493,6,6,14,conservative_topk_strict_gt,simNoiseOnly,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat#0,raw,,
0.0003,2087.811315345802,0.3488372093023256,0.0002901073397156948,43,65493,19,19,34,conservative_topk_strict_gt,simNoiseOnly,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat#0,raw,,
0.001,409.49321035778956,0.7674418604651163,0.0009924724779747454,43,65493,65,65,98,conservative_topk_strict_gt,simNoiseOnly,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat#0,raw,,
0.003,228.53581585016033,0.8372093023255814,0.0029926862412776936,43,65493,196,196,232,conservative_topk_strict_gt,simNoiseOnly,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat#0,raw,,
0.01,192.22941712514924,0.8837209302325582,0.009985800009161284,43,65493,654,654,692,conservative_topk_strict_gt,simNoiseOnly,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat#0,raw,,
1e-05,1181.97916917442,0.09302325581395349,0.0,43,65493,0,0,4,conservative_topk_strict_gt,simNoiseOnly,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat#0,low_rank_residual_k30,,
3e-05,947.9256461061991,0.23255813953488372,1.526880735345762e-05,43,65493,1,1,11,conservative_topk_strict_gt,simNoiseOnly,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat#0,low_rank_residual_k30,,
0.0001,566.8804289380694,0.4186046511627907,9.161284412074573e-05,43,65493,6,6,24,conservative_topk_strict_gt,simNoiseOnly,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat#0,low_rank_residual_k30,,
0.0003,336.2434504535058,0.627906976744186,0.0002901073397156948,43,65493,19,19,46,conservative_topk_strict_gt,simNoiseOnly,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat#0,low_rank_residual_k30,,
0.001,190.93999470952832,0.7441860465116279,0.0009924724779747454,43,65493,65,65,97,conservative_topk_strict_gt,simNoiseOnly,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat#0,low_rank_residual_k30,,
0.003,161.98859793008825,0.7906976744186046,0.0029926862412776936,43,65493,196,196,230,conservative_topk_strict_gt,simNoiseOnly,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat#0,low_rank_residual_k30,,
0.01,139.5572193541991,0.8604651162790697,0.009985800009161284,43,65493,654,654,691,conservative_topk_strict_gt,simNoiseOnly,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat#0,low_rank_residual_k30,,
1e-05,12777.874382051055,0.023255813953488372,0.0,43,65493,0,0,1,conservative_topk_strict_gt,simNoiseOnly,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat#0,tpsscs_trainable_gate,,
3e-05,6197.498931085765,0.11627906976744186,1.526880735345762e-05,43,65493,1,1,6,conservative_topk_strict_gt,simNoiseOnly,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat#0,tpsscs_trainable_gate,,
0.0001,3754.0275757569398,0.2558139534883721,9.161284412074573e-05,43,65493,6,6,17,conservative_topk_strict_gt,simNoiseOnly,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat#0,tpsscs_trainable_gate,,
0.0003,1740.663917247906,0.37209302325581395,0.0002901073397156948,43,65493,19,19,35,conservative_topk_strict_gt,simNoiseOnly,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat#0,tpsscs_trainable_gate,,
0.001,231.4852833384195,0.7906976744186046,0.0009924724779747454,43,65493,65,65,99,conservative_topk_strict_gt,simNoiseOnly,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat#0,tpsscs_trainable_gate,,
0.003,167.3508129363309,0.8372093023255814,0.0029926862412776936,43,65493,196,196,232,conservative_topk_strict_gt,simNoiseOnly,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat#0,tpsscs_trainable_gate,,
0.01,141.786574240984,0.8604651162790697,0.009985800009161284,43,65493,654,654,691,conservative_topk_strict_gt,simNoiseOnly,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat#0,tpsscs_trainable_gate,,
1e-05,,0.11627906976744186,0.0,43,65493,0,0,5,residual_cfar_plus_zero_false_gate_union,simNoiseOnly,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat#0,tpsscs_finished_detector,1181.97916917442,12777.874382051055
3e-05,,0.2558139534883721,1.526880735345762e-05,43,65493,1,1,12,residual_cfar_plus_zero_false_gate_union,simNoiseOnly,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat#0,tpsscs_finished_detector,947.9256461061991,12777.874382051055
0.0001,,0.4418604651162791,9.161284412074573e-05,43,65493,6,6,25,residual_cfar_plus_zero_false_gate_union,simNoiseOnly,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat#0,tpsscs_finished_detector,566.8804289380694,12777.874382051055
0.0003,,0.627906976744186,0.0002901073397156948,43,65493,19,19,46,residual_cfar_plus_zero_false_gate_union,simNoiseOnly,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat#0,tpsscs_finished_detector,336.2434504535058,12777.874382051055
0.001,,0.7441860465116279,0.0009924724779747454,43,65493,65,65,97,residual_cfar_plus_zero_false_gate_union,simNoiseOnly,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat#0,tpsscs_finished_detector,190.93999470952832,12777.874382051055
0.003,,0.7906976744186046,0.0029926862412776936,43,65493,196,196,230,residual_cfar_plus_zero_false_gate_union,simNoiseOnly,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat#0,tpsscs_finished_detector,161.98859793008825,12777.874382051055
0.01,,0.8604651162790697,0.009985800009161284,43,65493,654,654,691,residual_cfar_plus_zero_false_gate_union,simNoiseOnly,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat#0,tpsscs_finished_detector,139.5572193541991,12777.874382051055
1e-05,12321.537996220834,0.023255813953488372,0.0,43,65493,0,0,1,conservative_topk_strict_gt,simWind,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat#0,raw,,
3e-05,6664.581680224825,0.09302325581395349,1.526880735345762e-05,43,65493,1,1,5,conservative_topk_strict_gt,simWind,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat#0,raw,,
0.0001,6008.128659897691,0.09302325581395349,9.161284412074573e-05,43,65493,6,6,10,conservative_topk_strict_gt,simWind,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat#0,raw,,
0.0003,4194.310705981906,0.18604651162790697,0.0002901073397156948,43,65493,19,19,27,conservative_topk_strict_gt,simWind,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat#0,raw,,
0.001,2666.304645960854,0.3023255813953488,0.0009924724779747454,43,65493,65,65,78,conservative_topk_strict_gt,simWind,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat#0,raw,,
0.003,1866.9620110761648,0.32558139534883723,0.0029926862412776936,43,65493,196,196,210,conservative_topk_strict_gt,simWind,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat#0,raw,,
0.01,986.0971149571332,0.5348837209302325,0.009985800009161284,43,65493,654,654,677,conservative_topk_strict_gt,simWind,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat#0,raw,,
1e-05,781.7250664502179,0.13953488372093023,0.0,43,65493,0,0,6,conservative_topk_strict_gt,simWind,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat#0,low_rank_residual_k30,,
3e-05,752.3170099605082,0.13953488372093023,1.526880735345762e-05,43,65493,1,1,7,conservative_topk_strict_gt,simWind,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat#0,low_rank_residual_k30,,
0.0001,454.42974555474404,0.16279069767441862,9.161284412074573e-05,43,65493,6,6,13,conservative_topk_strict_gt,simWind,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat#0,low_rank_residual_k30,,
0.0003,161.8831039767721,0.46511627906976744,0.0002901073397156948,43,65493,19,19,39,conservative_topk_strict_gt,simWind,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat#0,low_rank_residual_k30,,
