pfa_target,threshold,pd,empirical_pfa,target_count,background_count,max_false_alarms,false_alarms,detections,threshold_policy,dataset,file,window_index,item_id,method,primary_target_bin_1indexed,guard_bins_1indexed,residual_threshold,gate_threshold
1e-05,578554064.4500479,0.0078125,0.0,1024,10240,0,0,14,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,0,19931107_135603_starea.cdf#0,raw,9,"8,9,10,11",,
3e-05,578554064.4500479,0.0078125,0.0,1024,10240,0,0,14,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,0,19931107_135603_starea.cdf#0,raw,9,"8,9,10,11",,
0.0001,396743644.5320282,0.009765625,9.765625e-05,1024,10240,1,1,19,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,0,19931107_135603_starea.cdf#0,raw,9,"8,9,10,11",,
0.0003,346846528.7425244,0.0126953125,0.00029296875,1024,10240,3,3,24,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,0,19931107_135603_starea.cdf#0,raw,9,"8,9,10,11",,
0.001,253598960.34617472,0.0205078125,0.0009765625,1024,10240,10,10,41,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,0,19931107_135603_starea.cdf#0,raw,9,"8,9,10,11",,
0.003,158834312.7606747,0.0302734375,0.0029296875,1024,10240,30,30,78,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,0,19931107_135603_starea.cdf#0,raw,9,"8,9,10,11",,
0.01,80867793.70651357,0.0400390625,0.0099609375,1024,10240,102,102,176,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,0,19931107_135603_starea.cdf#0,raw,9,"8,9,10,11",,
1e-05,2214849.7939109476,0.0,0.0,1024,10240,0,0,0,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,0,19931107_135603_starea.cdf#0,low_rank_residual_k30,9,"8,9,10,11",,
3e-05,2214849.7939109476,0.0,0.0,1024,10240,0,0,0,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,0,19931107_135603_starea.cdf#0,low_rank_residual_k30,9,"8,9,10,11",,
0.0001,1402234.11368263,0.0,9.765625e-05,1024,10240,1,1,1,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,0,19931107_135603_starea.cdf#0,low_rank_residual_k30,9,"8,9,10,11",,
