pfa_target,threshold,pd,empirical_pfa,target_count,background_count,max_false_alarms,false_alarms,detections,threshold_policy,dataset,file,window_index,item_id,method,beta,primary_target_bin_1indexed,guard_bins_1indexed,residual_threshold,gate_threshold
0.001,7.53964239986166,0.423828125,0.0009765625,1024,10240,10,10,964,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,0,19931107_135603_starea.cdf#0,ipix_validated_residual_fusion,1.5,9,"8,9,10,11",,
0.003,6.718724420158141,0.64453125,0.0029296875,1024,10240,30,30,1510,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,0,19931107_135603_starea.cdf#0,ipix_validated_residual_fusion,1.5,9,"8,9,10,11",,
0.01,5.8665878861764185,0.83984375,0.0099609375,1024,10240,102,102,2115,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,0,19931107_135603_starea.cdf#0,ipix_validated_residual_fusion,1.5,9,"8,9,10,11",,
1e-05,619480347.3475423,0.0205078125,0.0,1024,10240,0,0,58,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,1,19931107_135603_starea.cdf#1,raw,,9,"8,9,10,11",,
3e-05,619480347.3475423,0.0205078125,0.0,1024,10240,0,0,58,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,1,19931107_135603_starea.cdf#1,raw,,9,"8,9,10,11",,
0.0001,532028245.2123127,0.021484375,9.765625e-05,1024,10240,1,1,65,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,1,19931107_135603_starea.cdf#1,raw,,9,"8,9,10,11",,
0.0003,338313139.8469101,0.0224609375,0.00029296875,1024,10240,3,3,73,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,1,19931107_135603_starea.cdf#1,raw,,9,"8,9,10,11",,
0.001,269247813.12492347,0.0224609375,0.0009765625,1024,10240,10,10,83,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,1,19931107_135603_starea.cdf#1,raw,,9,"8,9,10,11",,
0.003,165575514.4749962,0.02734375,0.0029296875,1024,10240,30,30,137,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,1,19931107_135603_starea.cdf#1,raw,,9,"8,9,10,11",,
0.01,87502519.58303708,0.0576171875,0.0099609375,1024,10240,102,102,328,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,1,19931107_135603_starea.cdf#1,raw,,9,"8,9,10,11",,
1e-05,3974784.744352883,0.0,0.0,1024,10240,0,0,0,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,1,19931107_135603_starea.cdf#1,low_rank_residual_k30,,9,"8,9,10,11",,
3e-05,3974784.744352883,0.0,0.0,1024,10240,0,0,0,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,1,19931107_135603_starea.cdf#1,low_rank_residual_k30,,9,"8,9,10,11",,
0.0001,2804779.9205271374,0.0,9.765625e-05,1024,10240,1,1,1,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,1,19931107_135603_starea.cdf#1,low_rank_residual_k30,,9,"8,9,10,11",,
0.0003,1299434.2001828095,0.0,0.00029296875,1024,10240,3,3,3,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,1,19931107_135603_starea.cdf#1,low_rank_residual_k30,,9,"8,9,10,11",,
0.001,438711.5235647493,0.0,0.0009765625,1024,10240,10,10,10,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,1,19931107_135603_starea.cdf#1,low_rank_residual_k30,,9,"8,9,10,11",,
0.003,135783.27224423026,0.0,0.0029296875,1024,10240,30,30,30,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,1,19931107_135603_starea.cdf#1,low_rank_residual_k30,,9,"8,9,10,11",,
0.01,89379.36046879811,0.0,0.0099609375,1024,10240,102,102,102,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,1,19931107_135603_starea.cdf#1,low_rank_residual_k30,,9,"8,9,10,11",,
1e-05,,0.0,0.0,1024,10240,0,0,0,residual_cfar_plus_zero_false_gate_union,IPIX_Dartmouth,19931107_135603_starea.cdf,1,19931107_135603_starea.cdf#1,tpsscs_finished_detector,,9,"8,9,10,11",3974784.7443528804,193038260.02221173
3e-05,,0.0,0.0,1024,10240,0,0,0,residual_cfar_plus_zero_false_gate_union,IPIX_Dartmouth,19931107_135603_starea.cdf,1,19931107_135603_starea.cdf#1,tpsscs_finished_detector,,9,"8,9,10,11",3974784.7443528804,193038260.02221173
0.0001,,0.0,9.765625e-05,1024,10240,1,1,1,residual_cfar_plus_zero_false_gate_union,IPIX_Dartmouth,19931107_135603_starea.cdf,1,19931107_135603_starea.cdf#1,tpsscs_finished_detector,,9,"8,9,10,11",2804779.9205271383,193038260.02221173
0.0003,,0.0,0.00029296875,1024,10240,3,3,3,residual_cfar_plus_zero_false_gate_union,IPIX_Dartmouth,19931107_135603_starea.cdf,1,19931107_135603_starea.cdf#1,tpsscs_finished_detector,,9,"8,9,10,11",1299434.2001828046,193038260.02221173
0.001,,0.0,0.0009765625,1024,10240,10,10,10,residual_cfar_plus_zero_false_gate_union,IPIX_Dartmouth,19931107_135603_starea.cdf,1,19931107_135603_starea.cdf#1,tpsscs_finished_detector,,9,"8,9,10,11",438711.5235647512,193038260.02221173
0.003,,0.0,0.0029296875,1024,10240,30,30,30,residual_cfar_plus_zero_false_gate_union,IPIX_Dartmouth,19931107_135603_starea.cdf,1,19931107_135603_starea.cdf#1,tpsscs_finished_detector,,9,"8,9,10,11",135783.27224423052,193038260.02221173
0.01,,0.0,0.0099609375,1024,10240,102,102,102,residual_cfar_plus_zero_false_gate_union,IPIX_Dartmouth,19931107_135603_starea.cdf,1,19931107_135603_starea.cdf#1,tpsscs_finished_detector,,9,"8,9,10,11",89379.36046879731,193038260.02221173
1e-05,9.16373939074575,0.5283203125,0.0,1024,10240,0,0,2358,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,1,19931107_135603_starea.cdf#1,ipix_validated_residual_fusion,1.5,9,"8,9,10,11",,
3e-05,9.16373939074575,0.5283203125,0.0,1024,10240,0,0,2358,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,1,19931107_135603_starea.cdf#1,ipix_validated_residual_fusion,1.5,9,"8,9,10,11",,
0.0001,8.666698276689992,0.6611328125,9.765625e-05,1024,10240,1,1,2901,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,1,19931107_135603_starea.cdf#1,ipix_validated_residual_fusion,1.5,9,"8,9,10,11",,
0.0003,7.82937437651431,0.84375,0.00029296875,1024,10240,3,3,3629,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,1,19931107_135603_starea.cdf#1,ipix_validated_residual_fusion,1.5,9,"8,9,10,11",,
0.001,6.893052995902838,0.9716796875,0.0009765625,1024,10240,10,10,4022,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,1,19931107_135603_starea.cdf#1,ipix_validated_residual_fusion,1.5,9,"8,9,10,11",,
0.003,6.250284675523804,0.994140625,0.0029296875,1024,10240,30,30,4106,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,1,19931107_135603_starea.cdf#1,ipix_validated_residual_fusion,1.5,9,"8,9,10,11",,
0.01,5.202732834120095,1.0,0.0099609375,1024,10240,102,102,4197,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,1,19931107_135603_starea.cdf#1,ipix_validated_residual_fusion,1.5,9,"8,9,10,11",,
