split,n,mae_model,mae_persistence,rmse_model,rmse_persistence,csi20_model,csi20_persistence
train,14,3.028712511062622,1.810327172279358,6.638557434082031,6.059458255767822,0.21406038756196485,0.4314739564093092
val,4,4.519809246063232,3.4083714485168457,8.591825485229492,8.92712688446045,0.3823008849557522,0.47363509099393375
test,5,2.3642449378967285,0.5277401804924011,4.696712017059326,2.620810031890869,0.0,0.14705882352941177
