triplet,prev_time,cur_time,truth_time,flow_mae,persist_mae,flow_rmse,persist_rmse,flow_csi10,persist_csi10,flow_csi20,persist_csi20,flow_csi30,persist_csi30
2019/05/23/KTLX/KTLX20190523_000408_V06 + 2019/05/23/KTLX/KTLX20190523_000907_V06 -> 2019/05/23/KTLX/KTLX20190523_001354_V06,2019-05-23 00:04:08.592000,2019-05-23 00:09:07.918000,2019-05-23 00:13:54.308000,4.920357704162598,5.682656764984131,7.0769500732421875,8.387438774108887,0.43324201643704136,0.4081458298825724,0.4669877214910668,0.3745605422354543,0.2684072275730319,0.18787511367080933
2019/05/23/KTLX/KTLX20190523_000907_V06 + 2019/05/23/KTLX/KTLX20190523_001354_V06 -> 2019/05/23/KTLX/KTLX20190523_001907_V06,2019-05-23 00:09:07.918000,2019-05-23 00:13:54.308000,2019-05-23 00:19:07.228000,5.44974422454834,5.9694061279296875,7.780635356903076,8.59339714050293,0.13819108821498752,0.1586835953614154,0.034781484354797,0.025106540670743006,0.001688048615800135,0.003453485862292251
2019/05/23/KTLX/KTLX20190523_001354_V06 + 2019/05/23/KTLX/KTLX20190523_001907_V06 -> 2019/05/23/KTLX/KTLX20190523_002352_V06,2019-05-23 00:13:54.308000,2019-05-23 00:19:07.228000,2019-05-23 00:23:52.731000,5.479266166687012,6.034611701965332,7.800196170806885,8.613374710083008,0.13071049930398346,0.14248867863977274,0.06101772967994474,0.060546701095182974,0.0069124423963133645,0.024037482175595846
