calibration_mode,residual_safety_factor,gate_margin_scale,asset,pfa_target,n_items,tpsscs_pd,raw_pd,lowrank_pd,delta_vs_raw,delta_vs_lowrank,tpsscs_empirical_pfa,raw_empirical_pfa,lowrank_empirical_pfa,tpsscs_false_alarms_total,background_count_total,pfa_ceiling,tpsscs_pfa_calibrated,raw_pfa_calibrated,lowrank_pfa_calibrated,beats_raw,beats_lowrank
cross_asset_target_free_conservative,1.0,0.0,combined,1e-05,210,0.6282695312620552,0.12220554283184845,0.513331233955522,0.5060639884302067,0.11493829730653315,0.0008985216362404732,4.544282647510391e-05,0.0008391188176972804,12357,13754674,1.0600000000000002e-05,False,False,False,True,True
cross_asset_target_free_conservative,1.0,0.0,combined,3e-05,210,0.6662504182182173,0.16700412319935337,0.5613663454079485,0.4992462950188639,0.10488407281026879,0.001204715315273057,9.953713382807898e-05,0.0011501841367297623,16568,13754674,3.16e-05,False,False,False,True,True
cross_asset_target_free_conservative,1.0,0.0,combined,0.0001,210,0.7216382937979516,0.22923245012073215,0.630310375659371,0.4924058436772195,0.09132791813858065,0.002012549480513305,0.0002884280544882893,0.001965507611697268,27678,13754674,0.00010510000000000001,False,False,False,True,True
cross_asset_target_free_conservative,1.0,0.0,combined,0.0003,210,0.7698730848211511,0.29418924741081026,0.6888662992191843,0.47568383741034087,0.08100678560196684,0.003687328204156943,0.0006449064626953748,0.0036449398383919074,50711,13754674,0.00031509999999999996,False,False,False,True,True
cross_asset_target_free_conservative,1.0,0.0,combined,0.001,210,0.8252524119128815,0.380548245630504,0.7553263807331801,0.44470416628237747,0.06992603117970131,0.008242396536499629,0.001681915118043382,0.008206406809212708,113357,13754674,0.0010501000000000002,False,False,False,True,True
cross_asset_target_free_conservative,1.0,0.0,combined,0.003,210,0.8590817280990691,0.48396699030234486,0.7983688821233255,0.3751147377967243,0.06071284597574367,0.01761029091367011,0.004224808094696713,0.01757990001793424,242196,13754674,0.0031501,False,False,False,True,True
cross_asset_target_free_conservative,1.0,0.0,combined,0.01,210,0.8998020307109299,0.6583200235528658,0.8479265679755843,0.24148200715806412,0.0518754627353456,0.04194985744763775,0.012027479069745767,0.041924483673523104,576951,13754674,0.0105001,False,False,False,True,True
cross_asset_target_free_conservative,1.0,0.0,simMed_test.mat,1e-05,105,0.6214431408645611,0.13754819506410546,0.48910183717549605,0.48389494580045567,0.13234130368906505,0.0008524921058462727,6.514651216398344e-05,0.0007757120073590253,5862,6877337,1.0600000000000002e-05,False,False,False,True,True
cross_asset_target_free_conservative,1.0,0.0,simMed_test.mat,3e-05,105,0.6466145420385699,0.18160627999140647,0.5239605361500035,0.4650082620471635,0.12265400588856645,0.0010309288110406248,0.00014250664763630603,0.0009601111249166191,7089,6877337,3.16e-05,False,False,False,True,True
cross_asset_target_free_conservative,1.0,0.0,simMed_test.mat,0.0001,105,0.7009194345002275,0.250506756769571,0.594211644415595,0.4504126777306565,0.10670779008463249,0.0014878502362916284,0.00042271621690726717,0.0014257579872761026,10231,6877337,0.00010510000000000001,False,False,False,True,True
