asset,comparator,n_items,tpsscs_auc_mean,comparator_auc_mean,mean_delta_auc,median_delta_auc,q05_delta_auc,min_delta_auc,max_delta_auc,bootstrap_ci95_low,bootstrap_ci95_high,wins,ties,losses,win_fraction,nonnegative_fraction,matched_sign_effect,one_sided_sign_p,bh_fdr_q_all_tests,positive_bootstrap_ci,significant_bh_0p05
combined,low_rank_residual_k30,210,0.5313080161181635,0.4759760520237325,0.055331964094430905,0.04166666666666671,0.0,0.0,0.26666666666666666,0.049142001404955706,0.06180378892468827,195,15,0,0.9285714285714286,1.0,1.0,1.9913648889155653e-59,1.1948189333493392e-58,True,True
combined,raw,210,0.5313080161181635,0.3085085198357303,0.22279949628243312,0.22328400013830763,0.0535573068835295,-0.07140530196534178,0.5463383811077139,0.2080278612836725,0.23776772357680737,206,0,4,0.9809523809523809,0.9809523809523809,0.9619047619047619,4.878888705765445e-56,1.4636666117296334e-55,True,True
simMed_test.mat,low_rank_residual_k30,105,0.5272825593204767,0.4688114071808158,0.058471152139660955,0.04725589293205812,0.0005680014937138771,0.0,0.26666666666666666,0.04938424170705421,0.06821308654293165,99,6,0,0.9428571428571428,1.0,1.0,1.5777218104420236e-30,3.1554436208840472e-30,True,True
simMed_test.mat,raw,105,0.5272825593204767,0.29536380293612907,0.2319187563843477,0.22803198605867053,0.06495892396534764,-0.07140530196534178,0.5113727247168203,0.2107359636677677,0.25329206992269193,103,0,2,0.9809523809523809,0.9809523809523809,0.9619047619047619,1.3721249370187974e-28,1.3721249370187974e-28,True,True
simWind_test.mat,low_rank_residual_k30,105,0.5353334729158501,0.48314069686664923,0.05219277604920086,0.04053429101847361,0.0,0.0,0.2,0.04359391571602581,0.06138297596408152,96,9,0,0.9142857142857143,1.0,1.0,1.262177448353619e-29,1.8932661725304283e-29,True,True
simWind_test.mat,raw,105,0.5353334729158501,0.3216532367353316,0.21368023618051848,0.2177586838855326,0.048894998440945726,-0.06704797908800575,0.5463383811077139,0.19241379122644003,0.2346100863417705,103,0,2,0.9809523809523809,0.9809523809523809,0.9619047619047619,1.3721249370187974e-28,1.3721249370187974e-28,True,True
