pfa_target,threshold,pd,empirical_pfa,target_count,background_count,max_false_alarms,false_alarms,detections,threshold_policy,asset,image_index,item_id,method,method_family,train_asset,test_asset
0.003,0.9854047894477844,0.88,0.002993006138716672,50,65486,196,196,240,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,7,simWind_test.mat#7,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.01,0.9289991855621338,1.0,0.009986867422044406,50,65486,654,654,704,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,7,simWind_test.mat#7,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
1e-05,0.999969482421875,0.041666666666666664,0.0,24,65512,0,0,1,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,8,simWind_test.mat#8,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
3e-05,0.9995307922363281,0.125,1.5264379045060447e-05,24,65512,1,1,4,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,8,simWind_test.mat#8,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.0001,0.9989054203033447,0.25,9.158627427036269e-05,24,65512,6,6,12,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,8,simWind_test.mat#8,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.0003,0.9947409629821777,0.4166666666666667,0.0002900232018561485,24,65512,19,19,29,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,8,simWind_test.mat#8,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.001,0.9877247214317322,0.5416666666666666,0.000992184637928929,24,65512,65,65,78,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,8,simWind_test.mat#8,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.003,0.9742037057876587,0.6666666666666666,0.0029918182928318476,24,65512,196,196,212,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,8,simWind_test.mat#8,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.01,0.9164403080940247,0.9166666666666666,0.009998168274514593,24,65512,655,655,677,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,8,simWind_test.mat#8,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
1e-05,0.9999978542327881,0.043478260869565216,0.0,23,65513,0,0,1,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,9,simWind_test.mat#9,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
3e-05,0.9999951124191284,0.043478260869565216,1.526414604734938e-05,23,65513,1,1,2,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,9,simWind_test.mat#9,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.0001,0.9999449253082275,0.34782608695652173,9.158487628409629e-05,23,65513,6,6,14,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,9,simWind_test.mat#9,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.0003,0.9982537627220154,0.4782608695652174,0.00029001877489963823,23,65513,19,19,30,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,9,simWind_test.mat#9,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.001,0.9905863404273987,0.7391304347826086,0.0009921694930777097,23,65513,65,65,82,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,9,simWind_test.mat#9,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.003,0.9736661314964294,0.9130434782608695,0.0029917726252804786,23,65513,196,196,217,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,9,simWind_test.mat#9,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.01,0.9074094295501709,1.0,0.009998015661013845,23,65513,655,655,678,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,9,simWind_test.mat#9,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
1e-05,0.9999997615814209,0.017241379310344827,0.0,58,65478,0,0,1,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,11,simWind_test.mat#11,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
3e-05,0.9999990463256836,0.034482758620689655,1.527230520174715e-05,58,65478,1,1,3,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,11,simWind_test.mat#11,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.0001,0.9999843835830688,0.25862068965517243,9.163383121048291e-05,58,65478,6,6,21,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,11,simWind_test.mat#11,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.0003,0.9998733997344971,0.3620689655172414,0.0002901737988331959,58,65478,19,19,40,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,11,simWind_test.mat#11,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.001,0.9978995323181152,0.7068965517241379,0.0009926998381135648,58,65478,65,65,106,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,11,simWind_test.mat#11,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.003,0.9837328791618347,0.8275862068965517,0.0029933718195424416,58,65478,196,196,244,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,11,simWind_test.mat#11,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
