pfa,comparator,n_items,mean_delta_pd,ci95_low,ci95_high,positive_fraction,nonnegative_fraction
1e-05,loso_supervised_raw_residual_hgb,210,0.034324041856135114,0.016601229608378468,0.05194286311048566,0.6,0.680952380952381
1e-05,tpsscs_finished_detector,210,0.1550309536298845,0.12993871821616168,0.17873975455705232,0.7714285714285715,0.7904761904761904
3e-05,loso_supervised_raw_residual_hgb,210,0.039170032113585086,0.02422898528651071,0.05443300269895688,0.6238095238095238,0.6904761904761905
3e-05,tpsscs_finished_detector,210,0.2142176430495654,0.19169584954917684,0.23704299042683133,0.9047619047619048,0.919047619047619
0.0001,loso_supervised_raw_residual_hgb,210,1.915166033900866e-06,-0.008656746973713533,0.008729439289715564,0.4,0.5904761904761905
0.0001,tpsscs_finished_detector,210,0.2875786512085052,0.26627708614104906,0.30931754119137417,0.9761904761904762,0.9857142857142858
0.0003,loso_supervised_raw_residual_hgb,210,-0.0007271633210153164,-0.006708163795118896,0.0056668133361458175,0.37142857142857144,0.6714285714285714
0.0003,tpsscs_finished_detector,210,0.256449509359818,0.2371079352000056,0.27648520357719747,0.9761904761904762,0.9952380952380953
0.001,loso_supervised_raw_residual_hgb,210,0.006926303702668438,0.0026769720676475483,0.011101138360453932,0.37142857142857144,0.7619047619047619
0.001,tpsscs_finished_detector,210,0.1747291332268882,0.16120129207157352,0.18935410208325187,0.9666666666666667,0.9857142857142858
0.003,loso_supervised_raw_residual_hgb,210,0.003859783832748893,-2.1805247412790612e-05,0.0077293225332970604,0.3142857142857143,0.7285714285714285
0.003,tpsscs_finished_detector,210,0.11507970979048109,0.10155237456493091,0.12957589505108474,0.9095238095238095,0.9666666666666667
0.01,loso_supervised_raw_residual_hgb,210,0.0026940313553439122,7.477773185870793e-05,0.005250185798275869,0.21428571428571427,0.8380952380952381
0.01,tpsscs_finished_detector,210,0.09709593491392406,0.08512064942300199,0.11005679701921765,0.919047619047619,0.9761904761904762
