pfa_target,threshold,pd,empirical_pfa,target_count,background_count,max_false_alarms,false_alarms,detections,threshold_policy,asset,image_index,item_id,method,method_family,train_asset,test_asset
0.001,0.9580073413442164,1.0,0.0009925785664111413,50,65486,65,65,115,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,7,simWind_test.mat#7,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.003,0.8097985990107432,1.0,0.002993006138716672,50,65486,196,196,246,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,7,simWind_test.mat#7,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.01,0.4671228854848105,1.0,0.009986867422044406,50,65486,654,654,704,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,7,simWind_test.mat#7,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
1e-05,0.99968135159442,0.375,0.0,24,65512,0,0,9,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,8,simWind_test.mat#8,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
3e-05,0.9995441882054817,0.4583333333333333,1.5264379045060447e-05,24,65512,1,1,12,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,8,simWind_test.mat#8,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0001,0.9966316467275327,0.625,9.158627427036269e-05,24,65512,6,6,21,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,8,simWind_test.mat#8,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0003,0.9934332581941692,0.7083333333333334,0.0002900232018561485,24,65512,19,19,36,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,8,simWind_test.mat#8,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.001,0.9382019984801467,0.875,0.000992184637928929,24,65512,65,65,86,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,8,simWind_test.mat#8,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.003,0.7916147638221728,0.9583333333333334,0.0029918182928318476,24,65512,196,196,219,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,8,simWind_test.mat#8,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.01,0.3911693860390649,1.0,0.009998168274514593,24,65512,655,655,679,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,8,simWind_test.mat#8,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
1e-05,0.9997821898208309,0.21739130434782608,0.0,23,65513,0,0,5,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,9,simWind_test.mat#9,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
3e-05,0.99977880383331,0.34782608695652173,1.526414604734938e-05,23,65513,1,1,9,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,9,simWind_test.mat#9,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0001,0.9973910454662578,0.9130434782608695,9.158487628409629e-05,23,65513,6,6,27,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,9,simWind_test.mat#9,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0003,0.9896994378124079,0.9130434782608695,0.00029001877489963823,23,65513,19,19,40,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,9,simWind_test.mat#9,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
