calibration_mode,asset,pfa,n_items,tpsscs_pd,raw_pd,lowrank_pd,delta_vs_raw,delta_vs_lowrank,tpsscs_empirical_pfa,raw_empirical_pfa,lowrank_empirical_pfa,pfa_ceiling,tpsscs_pfa_calibrated,beats_raw,beats_lowrank
cross_asset_target_free,combined,1e-05,210,0.6282695312620552,0.12220554283184845,0.513331233955522,0.5060639884302067,0.11493829730653315,0.0008985216362404732,4.544282647510391e-05,0.0008391188176972804,1.0600000000000002e-05,False,True,True
cross_asset_target_free,combined,3e-05,210,0.6662504182182173,0.16700412319935337,0.5613663454079485,0.4992462950188639,0.10488407281026879,0.001204715315273057,9.953713382807898e-05,0.0011501841367297623,3.16e-05,False,True,True
cross_asset_target_free,combined,0.0001,210,0.7216382937979516,0.22923245012073215,0.630310375659371,0.4924058436772195,0.09132791813858065,0.002012549480513305,0.0002884280544882893,0.001965507611697268,0.00010510000000000001,False,True,True
cross_asset_target_free,combined,0.0003,210,0.7698730848211511,0.29418924741081026,0.6888662992191843,0.47568383741034087,0.08100678560196684,0.003687328204156943,0.0006449064626953748,0.0036449398383919074,0.00031509999999999996,False,True,True
cross_asset_target_free,combined,0.001,210,0.8252524119128815,0.380548245630504,0.7553263807331801,0.44470416628237747,0.06992603117970131,0.008242396536499629,0.001681915118043382,0.008206406809212708,0.0010501000000000002,False,True,True
cross_asset_target_free,combined,0.003,210,0.8590817280990691,0.48396699030234486,0.7983688821233255,0.3751147377967243,0.06071284597574367,0.01761029091367011,0.004224808094696713,0.01757990001793424,0.0031501,False,True,True
cross_asset_target_free,combined,0.01,210,0.8998020307109299,0.6583200235528658,0.8479265679755843,0.24148200715806412,0.0518754627353456,0.04194985744763775,0.012027479069745767,0.041924483673523104,0.0105001,False,True,True
cross_asset_target_free,simMed_test.mat,1e-05,105,0.6214431408645611,0.13754819506410546,0.48910183717549605,0.48389494580045567,0.13234130368906505,0.0008524921058462727,6.514651216398344e-05,0.0007757120073590253,1.0600000000000002e-05,False,True,True
cross_asset_target_free,simMed_test.mat,3e-05,105,0.6466145420385699,0.18160627999140647,0.5239605361500035,0.4650082620471635,0.12265400588856645,0.0010309288110406248,0.00014250664763630603,0.0009601111249166191,3.16e-05,False,True,True
cross_asset_target_free,simMed_test.mat,0.0001,105,0.7009194345002275,0.250506756769571,0.594211644415595,0.4504126777306565,0.10670779008463249,0.0014878502362916284,0.00042271621690726717,0.0014257579872761026,0.00010510000000000001,False,True,True
cross_asset_target_free,simMed_test.mat,0.0003,105,0.7496290331944823,0.3203369562677633,0.6537447867743857,0.42929207692671895,0.09588424642009652,0.002232566461759633,0.0009715048995873241,0.002177018231763093,0.00031509999999999996,False,True,True
cross_asset_target_free,simMed_test.mat,0.001,105,0.7961005495875318,0.4041410413752089,0.7145158195692578,0.39195950821232295,0.08158473001827404,0.0039193344548661265,0.002407599490845176,0.0038714936082983025,0.0010501000000000002,False,True,True
cross_asset_target_free,simMed_test.mat,0.003,105,0.8299333792601997,0.5108081157703395,0.7584830392097079,0.31912526348986026,0.07145034005049178,0.00722041661844033,0.005741608073148579,0.007180283235227429,0.0031501,False,True,True
cross_asset_target_free,simMed_test.mat,0.01,105,0.8805122675617398,0.6845606050330818,0.8194471753841114,0.19595166252865803,0.061065092177628455,0.016211022244717915,0.014851827714264533,0.016178014540570374,0.0105001,False,True,True
cross_asset_target_free,simWind_test.mat,1e-05,105,0.6350959216595494,0.10686289059959145,0.537560630735548,0.528233031059958,0.09753529092400137,0.0009445511666346736,2.573914078622439e-05,0.0009025256280355355,1.0600000000000002e-05,False,True,True
cross_asset_target_free,simWind_test.mat,3e-05,105,0.6858862943978645,0.15240196640730022,0.5987721546658935,0.5334843279905643,0.08711413973197102,0.0013785018195054892,5.65676200198519e-05,0.0013402571485429055,3.16e-05,False,True,True
cross_asset_target_free,simWind_test.mat,0.0001,105,0.7423571530956755,0.20795814347189331,0.666409106903147,0.5343990096237822,0.07594804619252848,0.0025372487247349814,0.00015413989206931148,0.0025052572361184324,0.00010510000000000001,False,True,True
cross_asset_target_free,simWind_test.mat,0.0003,105,0.79011713644782,0.2680415385538572,0.7239878116639831,0.5220755978939629,0.06612932478383693,0.005142089946554252,0.00031830802580342575,0.0051128614450207215,0.00031509999999999996,False,True,True
cross_asset_target_free,simWind_test.mat,0.001,105,0.8544042742382313,0.3569554498857991,0.7961369418971025,0.4974488243524322,0.0582673323411288,0.012565458618133133,0.0009562307452415877,0.012541320010127113,0.0010501000000000002,False,True,True
cross_asset_target_free,simWind_test.mat,0.003,105,0.8882300769379385,0.45712586483435036,0.8382547250369429,0.4311042121035882,0.04997535190099567,0.028000165208899887,0.002708008116244847,0.02797951680064105,0.0031501,False,True,True
cross_asset_target_free,simWind_test.mat,0.01,105,0.9190917938601201,0.6320794420726498,0.8764059605670572,0.2870123517874703,0.04268583329306286,0.0676886926505576,0.009203130425227003,0.06767095280647582,0.0105001,False,True,True
same_asset_target_free,combined,1e-05,210,0.6234848202391009,0.12159898094895295,0.5102623905974354,0.501885839290148,0.11322242964166551,0.0008892872434633234,4.0789765138511033e-05,0.0008301025008071062,1.0600000000000002e-05,False,True,True
same_asset_target_free,combined,3e-05,210,0.664239340338256,0.1683596570954903,0.5610536679146784,0.49587968324276577,0.10318567242357768,0.0011550512859057512,8.81948571719326e-05,0.0011016108208633116,3.16e-05,False,True,True
same_asset_target_free,combined,0.0001,210,0.7206721810173542,0.2294593583535087,0.6310924225408134,0.49121282266384547,0.08957975847654076,0.0018557801581123557,0.00024829334936168863,0.0018095379985008564,0.00010510000000000001,False,True,True
same_asset_target_free,combined,0.0003,210,0.7673263222485921,0.2945886820418752,0.6884616151538321,0.4727376402067169,0.07886470709476001,0.003191502140556549,0.0005590392832661693,0.0031507133364180495,0.00031509999999999996,False,True,True
same_asset_target_free,combined,0.001,210,0.8189516785013716,0.3797036559475925,0.7507174783795032,0.43924802255377915,0.06823420012186843,0.0066235625304228865,0.0015333025022732513,0.006588445223172415,0.0010501000000000002,False,True,True
same_asset_target_free,combined,0.003,210,0.8643156053185871,0.4852970262338184,0.8047380295962294,0.3790185790847687,0.05957757572235767,0.013750728199175942,0.004035918314185886,0.013721064141986764,0.0031501,False,True,True
same_asset_target_free,combined,0.01,210,0.9012180113342105,0.6581362441958765,0.8500215785612514,0.24308176713833407,0.051196432772959155,0.03327282047611399,0.01186898320840281,0.03324795554905062,0.0105001,False,True,True
same_asset_target_free,simMed_test.mat,1e-05,105,0.6117584070163372,0.10756648816697639,0.5058578438401101,0.5041919188493609,0.10590056317622709,0.0009102287094515099,3.722715648196352e-05,0.0008641310647307332,1.0600000000000002e-05,False,True,True
same_asset_target_free,simMed_test.mat,3e-05,105,0.6590511543907068,0.15562154018553298,0.5625909891620389,0.5034296142051738,0.09646016522866796,0.0012137288467696304,8.594089017915495e-05,0.0011719939805895229,3.16e-05,False,True,True
same_asset_target_free,simMed_test.mat,0.0001,105,0.7187517899228977,0.21193421477767457,0.6348799098149865,0.5068175751452231,0.08387188010791113,0.0019204885380638677,0.00024342275173026146,0.0018844251586887034,0.00010510000000000001,False,True,True
same_asset_target_free,simMed_test.mat,0.0003,105,0.7685700754250505,0.27226115710582666,0.6955290520465752,0.49630891831922386,0.07304102337847529,0.003281655902985435,0.0005301766263308646,0.003249664412204036,0.00031509999999999996,False,True,True
same_asset_target_free,simMed_test.mat,0.001,105,0.8193163596384844,0.36070301889035294,0.7560615226764654,0.4586133407481314,0.06325483696201895,0.00681251358804661,0.0015271243818366577,0.006786339081300921,0.0010501000000000002,False,True,True
same_asset_target_free,simMed_test.mat,0.003,105,0.8643574539276566,0.46503395446457113,0.8094213034402946,0.3993234994630855,0.054936150487362,0.014057800616659611,0.004042180580306112,0.014035552401467023,0.0031501,False,True,True
same_asset_target_free,simMed_test.mat,0.01,105,0.9038321645381988,0.6385749137510481,0.8555976100278461,0.2652572507871507,0.048234554510352745,0.034100485348711435,0.011965257684078724,0.03408129105273032,0.0105001,False,True,True
same_asset_target_free,simWind_test.mat,1e-05,105,0.6352112334618645,0.1356314737309295,0.5146669373547608,0.49957975973093494,0.12054429610710371,0.0008683457774751371,4.435237379505854e-05,0.000796073936883479,1.0600000000000002e-05,False,True,True
same_asset_target_free,simWind_test.mat,3e-05,105,0.6694275262858052,0.1810977740054476,0.5595163466673178,0.4883297522803576,0.1099111796184874,0.0010963737250418717,9.044882416471023e-05,0.0010312276611371004,3.16e-05,False,True,True
same_asset_target_free,simWind_test.mat,0.0001,105,0.7225925721118106,0.24698450192934282,0.6273049352666404,0.47560807018246776,0.09528763684517016,0.0017910717781608437,0.0002531639469931158,0.0017346508383130094,0.00010510000000000001,False,True,True
same_asset_target_free,simWind_test.mat,0.0003,105,0.7660825690721336,0.3169162069779237,0.6813941782610888,0.44916636209420985,0.08468839081104473,0.003101348378127662,0.0005879019402014741,0.0030517622606320636,0.00031509999999999996,False,True,True
same_asset_target_free,simWind_test.mat,0.001,105,0.8185869973642589,0.3987042930048319,0.7453734340825409,0.419882704359427,0.07321356328171802,0.006434611472799163,0.0015394806227098448,0.006390551365043908,0.0010501000000000002,False,True,True
same_asset_target_free,simWind_test.mat,0.003,105,0.8642737567095174,0.5055600980030657,0.8000547557521641,0.3587136587064518,0.06421900095735333,0.01344365578169227,0.0040296560480656595,0.013406575882506504,0.0031501,False,True,True
same_asset_target_free,simWind_test.mat,0.01,105,0.8986038581302221,0.677697574640705,0.8444455470946568,0.22090628348951713,0.05415831103556534,0.03244515560351655,0.0117727087327269,0.03241462004537092,0.0105001,False,True,True
