asset,method,pfa_target,n_items,pd_mean,pd_median,pd_std,empirical_pfa_mean,empirical_pfa_max,target_count_sum
combined,low_rank_residual_k30,1e-05,210,0.10146070057299977,0.09262435677530015,0.06796077623109122,0.0,0.0,7886
combined,low_rank_residual_k30,3e-05,210,0.1570540431271092,0.14907407407407405,0.07587736136189832,1.5267538128030788e-05,1.5273471507338904e-05,7886
combined,low_rank_residual_k30,0.0001,210,0.30257106980760234,0.29340028694404585,0.09206423826590379,9.160522876818475e-05,9.16408290440334e-05,7886
combined,low_rank_residual_k30,0.0003,210,0.47221342299964675,0.4651162790697674,0.10725604937492372,0.0002900832244325381,0.0002901959586394,7886
combined,low_rank_residual_k30,0.001,210,0.6592405050150985,0.6804255319148936,0.12196380783236004,0.0009923899783219551,0.000992775647977,7886
combined,low_rank_residual_k30,0.003,210,0.7777748117479776,0.8181818181818182,0.13341090276989934,0.0029924374730939804,0.0029936004154384,7886
combined,low_rank_residual_k30,0.01,210,0.8388051850294411,0.88,0.12992091917735377,0.009992820396478946,0.01,7886
combined,raw,1e-05,210,0.07995109080162792,0.0697674418604651,0.05164160727542633,0.0,0.0,7886
combined,raw,3e-05,210,0.12101225797420936,0.1162790697674418,0.06277391254793675,1.5267538128030788e-05,1.5273471507338904e-05,7886
combined,raw,0.0001,210,0.20493417808890693,0.1956521739130435,0.08314201839610845,9.160522876818475e-05,9.16408290440334e-05,7886
combined,raw,0.0003,210,0.2808969289153566,0.2857142857142857,0.09835054524916356,0.0002900832244325381,0.0002901959586394,7886
combined,raw,0.001,210,0.37707533805908117,0.375,0.11752005861146829,0.0009923899783219551,0.000992775647977,7886
combined,raw,0.003,210,0.48646260029395716,0.4814814814814814,0.12464918711301388,0.0029924374730939804,0.0029936004154384,7886
combined,raw,0.01,210,0.6550724312569852,0.645,0.11833496969013638,0.009992820396478946,0.01,7886
combined,tpsscs_finished_detector,1e-05,210,0.18453205303478548,0.1746031746031746,0.08427947028755098,0.0,0.0,7886
combined,tpsscs_finished_detector,3e-05,210,0.23582166376780264,0.2325581395348837,0.09138427779893203,1.5267538128030788e-05,1.5273471507338904e-05,7886
combined,tpsscs_finished_detector,0.0001,210,0.36818669979187413,0.3578167115902965,0.10461509994267885,9.160522876818475e-05,9.16408290440334e-05,7886
combined,tpsscs_finished_detector,0.0003,210,0.5261399631103596,0.5319727891156463,0.10897983853882003,0.0002900832244325381,0.0002901959586394,7886
combined,tpsscs_finished_detector,0.001,210,0.7028664531528074,0.7253384912959382,0.11655102251132587,0.0009923899783219551,0.000992775647977,7886
combined,tpsscs_finished_detector,0.003,210,0.8130400711503218,0.8518518518518519,0.12010298322404661,0.0029924374730939804,0.0029936004154384,7886
combined,tpsscs_finished_detector,0.01,210,0.8677902575913439,0.9032258064516128,0.10873700988981844,0.009992820396478946,0.01,7886
combined,tpsscs_trainable_gate,1e-05,210,0.09611760418569963,0.0784313725490196,0.0675632337230089,0.0,0.0,7886
combined,tpsscs_trainable_gate,3e-05,210,0.15616376675173585,0.1538461538461538,0.07680403738293301,1.5267538128030788e-05,1.5273471507338904e-05,7886
combined,tpsscs_trainable_gate,0.0001,210,0.3116588041687341,0.3069073783359497,0.08950101316944609,9.160522876818475e-05,9.16408290440334e-05,7886
combined,tpsscs_trainable_gate,0.0003,210,0.5344817686526311,0.5305555555555556,0.12201987302701703,0.0002900832244325381,0.0002901959586394,7886
combined,tpsscs_trainable_gate,0.001,210,0.774403563373356,0.7551020408163265,0.11643448022318084,0.0009923899783219551,0.000992775647977,7886
combined,tpsscs_trainable_gate,0.003,210,0.8834424913814292,0.9166666666666666,0.10105354539165456,0.0029924374730939804,0.0029936004154384,7886
combined,tpsscs_trainable_gate,0.01,210,0.9209625489677481,0.9393382352941175,0.08162765300388479,0.009992820396478946,0.01,7886
simMed_test.mat,low_rank_residual_k30,1e-05,105,0.09885361114797109,0.0943396226415094,0.06345246890704012,0.0,0.0,3943
simMed_test.mat,low_rank_residual_k30,3e-05,105,0.1503500214703694,0.1395348837209302,0.07015172140940523,1.526753812803079e-05,1.5273471507338904e-05,3943
simMed_test.mat,low_rank_residual_k30,0.0001,105,0.2943857234377075,0.2857142857142857,0.09398698462800094,9.160522876818475e-05,9.16408290440334e-05,3943
simMed_test.mat,low_rank_residual_k30,0.0003,105,0.45748134897575243,0.46,0.10624700950142124,0.0002900832244325381,0.0002901959586394,3943
simMed_test.mat,low_rank_residual_k30,0.001,105,0.6488084401825713,0.6610169491525424,0.12164931972421407,0.0009923899783219551,0.000992775647977,3943
simMed_test.mat,low_rank_residual_k30,0.003,105,0.7763674110573479,0.8166666666666667,0.13335070362557447,0.0029924374730939804,0.0029936004154384,3943
simMed_test.mat,low_rank_residual_k30,0.01,105,0.8382638287231589,0.8837209302325582,0.13407209353933605,0.009992820396478945,0.01,3943
simMed_test.mat,raw,1e-05,105,0.07833114276198547,0.0697674418604651,0.05102121930902224,0.0,0.0,3943
simMed_test.mat,raw,3e-05,105,0.11489453378068923,0.1111111111111111,0.06327781665254463,1.526753812803079e-05,1.5273471507338904e-05,3943
simMed_test.mat,raw,0.0001,105,0.1955631506781725,0.1896551724137931,0.08230194466562754,9.160522876818475e-05,9.16408290440334e-05,3943
simMed_test.mat,raw,0.0003,105,0.26856713935915477,0.2666666666666666,0.10032363942915218,0.0002900832244325381,0.0002901959586394,3943
simMed_test.mat,raw,0.001,105,0.35694212605591935,0.3461538461538461,0.11440499890535923,0.0009923899783219551,0.000992775647977,3943
simMed_test.mat,raw,0.003,105,0.46732692232870954,0.4583333333333333,0.12337913660597126,0.0029924374730939804,0.0029936004154384,3943
simMed_test.mat,raw,0.01,105,0.6340198282838332,0.6071428571428571,0.1185956385667785,0.009992820396478945,0.01,3943
simMed_test.mat,tpsscs_finished_detector,1e-05,105,0.18454489041963199,0.1860465116279069,0.08444529593834814,0.0,0.0,3943
simMed_test.mat,tpsscs_finished_detector,3e-05,105,0.23292866331646775,0.2307692307692307,0.08946793106323835,1.526753812803079e-05,1.5273471507338904e-05,3943
simMed_test.mat,tpsscs_finished_detector,0.0001,105,0.3631281887560888,0.3461538461538461,0.108416905717922,9.160522876818475e-05,9.16408290440334e-05,3943
simMed_test.mat,tpsscs_finished_detector,0.0003,105,0.5154646610355453,0.5192307692307693,0.10678200876648408,0.0002900832244325381,0.0002901959586394,3943
simMed_test.mat,tpsscs_finished_detector,0.001,105,0.6957533928816515,0.72,0.11303280293927977,0.0009923899783219551,0.000992775647977,3943
simMed_test.mat,tpsscs_finished_detector,0.003,105,0.8138666025670928,0.8545454545454545,0.115957186614693,0.0029924374730939804,0.0029936004154384,3943
simMed_test.mat,tpsscs_finished_detector,0.01,105,0.8692331860864192,0.9090909090909092,0.11101000335288143,0.009992820396478945,0.01,3943
simMed_test.mat,tpsscs_trainable_gate,1e-05,105,0.0954637840306099,0.08,0.068892066427506,0.0,0.0,3943
simMed_test.mat,tpsscs_trainable_gate,3e-05,105,0.15267499882744245,0.1538461538461538,0.07992355283527341,1.526753812803079e-05,1.5273471507338904e-05,3943
simMed_test.mat,tpsscs_trainable_gate,0.0001,105,0.3057189210176154,0.3015873015873015,0.09046077480861299,9.160522876818475e-05,9.16408290440334e-05,3943
simMed_test.mat,tpsscs_trainable_gate,0.0003,105,0.5261980970561063,0.5333333333333333,0.12144544352658257,0.0002900832244325381,0.0002901959586394,3943
simMed_test.mat,tpsscs_trainable_gate,0.001,105,0.7706760841863128,0.75,0.11682083209609803,0.0009923899783219551,0.000992775647977,3943
simMed_test.mat,tpsscs_trainable_gate,0.003,105,0.890412847181967,0.9166666666666666,0.0969300504606206,0.0029924374730939804,0.0029936004154384,3943
simMed_test.mat,tpsscs_trainable_gate,0.01,105,0.927191388091438,0.9444444444444444,0.0794447386438858,0.009992820396478945,0.01,3943
simWind_test.mat,low_rank_residual_k30,1e-05,105,0.10406778999802849,0.0909090909090909,0.07240030470689157,0.0,0.0,3943
simWind_test.mat,low_rank_residual_k30,3e-05,105,0.163758064783849,0.1538461538461538,0.08098204223292452,1.526753812803079e-05,1.5273471507338904e-05,3943
simWind_test.mat,low_rank_residual_k30,0.0001,105,0.31075641617749705,0.3018867924528302,0.08980147389082468,9.160522876818475e-05,9.16408290440334e-05,3943
simWind_test.mat,low_rank_residual_k30,0.0003,105,0.48694549702354095,0.48,0.10673174563253172,0.0002900832244325381,0.0002901959586394,3943
simWind_test.mat,low_rank_residual_k30,0.001,105,0.6696725698476255,0.6944444444444444,0.12196337785722956,0.0009923899783219551,0.000992775647977,3943
simWind_test.mat,low_rank_residual_k30,0.003,105,0.7791822124386072,0.82,0.1340957392232986,0.0029924374730939804,0.0029936004154384,3943
simWind_test.mat,low_rank_residual_k30,0.01,105,0.8393465413357233,0.875,0.12627460078192496,0.009992820396478945,0.01,3943
simWind_test.mat,raw,1e-05,105,0.08157103884127034,0.0701754385964912,0.05244893037260755,0.0,0.0,3943
simWind_test.mat,raw,3e-05,105,0.1271299821677295,0.1224489795918367,0.06196259607440858,1.526753812803079e-05,1.5273471507338904e-05,3943
simWind_test.mat,raw,0.0001,105,0.21430520549964135,0.2033898305084746,0.08331102286193103,9.160522876818475e-05,9.16408290440334e-05,3943
simWind_test.mat,raw,0.0003,105,0.2932267184715584,0.2954545454545454,0.0952200813787904,0.0002900832244325381,0.0002901959586394,3943
simWind_test.mat,raw,0.001,105,0.397208550062243,0.3953488372093023,0.11767639839475748,0.0009923899783219551,0.000992775647977,3943
simWind_test.mat,raw,0.003,105,0.5055982782592047,0.5,0.1235412338478139,0.0029924374730939804,0.0029936004154384,3943
simWind_test.mat,raw,0.01,105,0.6761250342301375,0.6666666666666666,0.11480898458100619,0.009992820396478945,0.01,3943
simWind_test.mat,tpsscs_finished_detector,1e-05,105,0.184519215649939,0.173076923076923,0.08451833080382476,0.0,0.0,3943
simWind_test.mat,tpsscs_finished_detector,3e-05,105,0.23871466421913762,0.2333333333333333,0.0936005385708837,1.526753812803079e-05,1.5273471507338904e-05,3943
simWind_test.mat,tpsscs_finished_detector,0.0001,105,0.37324521082765943,0.3703703703703703,0.10093551163709531,9.160522876818475e-05,9.16408290440334e-05,3943
simWind_test.mat,tpsscs_finished_detector,0.0003,105,0.5368152651851739,0.5384615384615384,0.11061146151985284,0.0002900832244325381,0.0002901959586394,3943
