asset,item_id,image_index,pfa_target,target_method,comparator,target_pd,comparator_pd,delta_pd,target_empirical_pfa,target_count,outcome
simMed_test.mat,simMed_test.mat#104,104,0.01,tpsscs_finished_detector,raw,0.88,0.56,0.31999999999999995,0.0099983208926745,25,win
simMed_test.mat,simMed_test.mat#105,105,1e-05,tpsscs_finished_detector,raw,0.1923076923076923,0.1153846153846153,0.076923076923077,0.0,26,win
simMed_test.mat,simMed_test.mat#105,105,3e-05,tpsscs_finished_detector,raw,0.2692307692307692,0.1153846153846153,0.1538461538461539,1.5264845061822624e-05,26,win
simMed_test.mat,simMed_test.mat#105,105,0.0001,tpsscs_finished_detector,raw,0.5,0.1923076923076923,0.3076923076923077,9.158907037093572e-05,26,win
simMed_test.mat,simMed_test.mat#105,105,0.0003,tpsscs_finished_detector,raw,0.6153846153846154,0.2692307692307692,0.3461538461538462,0.0002900320561746,26,win
simMed_test.mat,simMed_test.mat#105,105,0.001,tpsscs_finished_detector,raw,0.8076923076923077,0.3461538461538461,0.4615384615384616,0.0009922149290184,26,win
simMed_test.mat,simMed_test.mat#105,105,0.003,tpsscs_finished_detector,raw,0.8846153846153846,0.4230769230769231,0.4615384615384615,0.0029919096321172,26,win
simMed_test.mat,simMed_test.mat#105,105,0.01,tpsscs_finished_detector,raw,0.8846153846153846,0.5384615384615384,0.34615384615384615,0.0099984735154938,26,win
simMed_test.mat,simMed_test.mat#107,107,1e-05,tpsscs_finished_detector,raw,0.1224489795918367,0.0408163265306122,0.0816326530612245,0.0,49,win
simMed_test.mat,simMed_test.mat#107,107,3e-05,tpsscs_finished_detector,raw,0.1428571428571428,0.1224489795918367,0.02040816326530609,1.5270206300487118e-05,49,win
simMed_test.mat,simMed_test.mat#107,107,0.0001,tpsscs_finished_detector,raw,0.3061224489795918,0.2244897959183673,0.0816326530612245,9.162123780292272e-05,49,win
simMed_test.mat,simMed_test.mat#107,107,0.0003,tpsscs_finished_detector,raw,0.4693877551020408,0.3877551020408163,0.08163265306122447,0.0002901339197092,49,win
simMed_test.mat,simMed_test.mat#107,107,0.001,tpsscs_finished_detector,raw,0.6530612244897959,0.4897959183673469,0.16326530612244894,0.0009925634095316,49,win
simMed_test.mat,simMed_test.mat#107,107,0.003,tpsscs_finished_detector,raw,0.7142857142857143,0.6326530612244898,0.08163265306122447,0.0029929604348954,49,win
simMed_test.mat,simMed_test.mat#107,107,0.01,tpsscs_finished_detector,raw,0.8571428571428571,0.7755102040816326,0.08163265306122447,0.0099867149205185,49,win
simMed_test.mat,simMed_test.mat#108,108,1e-05,tpsscs_finished_detector,raw,0.24,0.04,0.19999999999999998,0.0,25,win
simMed_test.mat,simMed_test.mat#108,108,3e-05,tpsscs_finished_detector,raw,0.28,0.08,0.2,1.526461204988475e-05,25,win
simMed_test.mat,simMed_test.mat#108,108,0.0001,tpsscs_finished_detector,raw,0.32,0.16,0.16,9.158767229930853e-05,25,win
simMed_test.mat,simMed_test.mat#108,108,0.0003,tpsscs_finished_detector,raw,0.64,0.2,0.44,0.0002900276289478,25,win
simMed_test.mat,simMed_test.mat#108,108,0.001,tpsscs_finished_detector,raw,0.68,0.2,0.48000000000000004,0.0009921997832425,25,win
simMed_test.mat,simMed_test.mat#108,108,0.003,tpsscs_finished_detector,raw,0.92,0.32,0.6000000000000001,0.0029918639617774,25,win
simMed_test.mat,simMed_test.mat#108,108,0.01,tpsscs_finished_detector,raw,0.92,0.44,0.48000000000000004,0.0099983208926745,25,win
simMed_test.mat,simMed_test.mat#11,11,1e-05,tpsscs_finished_detector,raw,0.1379310344827586,0.0344827586206896,0.10344827586206899,0.0,58,win
simMed_test.mat,simMed_test.mat#11,11,3e-05,tpsscs_finished_detector,raw,0.1896551724137931,0.0862068965517241,0.10344827586206899,1.527230520174715e-05,58,win
