component,n,median_ms,mean_ms,p25_ms,p75_ms,p95_ms,min_ms,max_ms,summary_type,profile,scope
finished_detector_thresholds_7pfa,12,3.9707000032649375,3.652883333415957,2.9663249988516327,4.15092498951708,4.459530003805412,2.6596000097924843,4.779299997608177,component,,
numpy_rank30_residual_score,12,505.58085000375286,534.3220916693099,497.5651000022481,557.4828999997408,636.0111900052289,477.35630000534,660.0936000031652,component,,
raw_residual_hgb_feature_cube,12,23.785450001014397,23.211525002504157,22.25577500212239,24.423950002528727,25.289340003655525,19.19030000863131,25.366999994730577,component,,
raw_residual_hgb_predict_proba,12,83.56594999349909,84.54451666451253,82.23732499754988,86.4123749997816,91.73042499824078,78.85620000888593,94.21450000081677,component,,
raw_score_numpy,12,2.3893999969004653,2.77526666468475,2.174425000703195,2.860799999325536,4.51874499922269,2.0183000015094876,4.622199994628318,component,,
tpsscs_gate_and_enhanced_score_after_residual,12,10.848649995750748,15.384191664149208,10.289924994140165,11.809899999207119,35.57062499530726,9.862999999313615,63.894799997797236,component,,
tpsscs_low_rank_torch,12,116.27710000175284,120.8673333361124,107.27212499841698,124.78267500409856,155.37637501111016,98.34430000046268,187.36960001115222,component,,
tpsscs_total_forward_materialized,12,129.84254999901168,133.2491499997559,124.12687500545871,142.4074750066211,148.31030499917688,121.10200000461191,148.82560000114609,component,,
,12,133.6553999935859,136.90203333317186,127.12017500598449,146.25894999699085,152.4247750014183,125.03090001700912,152.83809999527875,profile,compact_tpsscs_finished_detector,
,12,608.9914499971201,644.8534000010113,605.1428250066238,668.6185249855043,751.7375750117935,598.077300019213,774.685500015039,profile,raw_residual_hgb_inference,
,12,525.7561500038719,557.533616671814,521.1552749969997,582.5737499981187,659.7501750118681,501.674200015259,685.319400014123,profile,shared_low_rank_numpy_plus_hgb_features,
,12,10.848649995750748,15.384191664149208,10.289924994140165,11.809899999207119,35.57062499530726,9.862999999313615,63.894799997797236,profile,tpsscs_gate_head_after_low_rank,
hgb_fit,1,1407.0984999998473,1407.0984999998473,1407.0984999998473,1407.0984999998473,1407.0984999998473,1407.0984999998473,1407.0984999998473,hgb_training,,train_on_simMed_test.mat_for_test_simWind_test.mat
hgb_training_sample_collection,1,13890.548299998045,13890.548299998045,13890.548299998045,13890.548299998045,13890.548299998045,13890.548299998045,13890.548299998045,hgb_training,,train_on_simMed_test.mat_for_test_simWind_test.mat
hgb_fit,1,3686.290800003917,3686.290800003917,3686.290800003917,3686.290800003917,3686.290800003917,3686.290800003917,3686.290800003917,hgb_training,,train_on_simWind_test.mat_for_test_simMed_test.mat
hgb_training_sample_collection,1,13498.588899994502,13498.588899994502,13498.588899994502,13498.588899994502,13498.588899994502,13498.588899994502,13498.588899994502,hgb_training,,train_on_simWind_test.mat_for_test_simMed_test.mat
