pfa,target_pd_min,target_pd_max,target_pd_range,delta_vs_raw_min,delta_vs_lowrank_min
1e-05,0.18320307113445108,0.18786455795675058,0.004661486822299499,0.10325198033282317,0.08174237056145131
3e-05,0.23582166376780267,0.23871521215304023,0.00289354838523756,0.11480940579359329,0.07876762064069348
0.0001,0.36818669979187413,0.37236847344846385,0.004181773656589727,0.1632525217029672,0.06561562998427178
0.0003,0.5259111738527719,0.5312340834036158,0.005322909550843913,0.24501424493741525,0.05369775085312517
0.001,0.7009987281901641,0.7083346854544508,0.007335957264286708,0.3239233901310829,0.04175822317506572
0.003,0.8104420656962736,0.818342426508629,0.007900360812355345,0.3239794654023166,0.03266725394829606
0.01,0.8640398197772722,0.8717303530078487,0.007690533230576557,0.20896738852028696,0.025234634747831275
