calibration_mode,residual_safety_factor,gate_margin_scale,asset,pfa_target,method,pd_mean,empirical_pfa_mean,empirical_pfa_max,false_alarms_total,background_count_total,n_items
cross_asset_target_free_conservative,1.0,0.0,simMed_test.mat,0.001,tpsscs_finished_detector,0.7961005495875318,0.0039193344548661265,0.02319579757505421,26951,6877337,105
cross_asset_target_free_conservative,1.0,0.0,simMed_test.mat,0.003,low_rank_residual_k30,0.7584830392097079,0.007180283235227429,0.043581834285190725,49375,6877337,105
cross_asset_target_free_conservative,1.0,0.0,simMed_test.mat,0.003,raw,0.5108081157703395,0.005741608073148579,0.01727086705555386,39485,6877337,105
cross_asset_target_free_conservative,1.0,0.0,simMed_test.mat,0.003,tpsscs_finished_detector,0.8299333792601997,0.00722041661844033,0.04365818648260697,49651,6877337,105
cross_asset_target_free_conservative,1.0,0.0,simMed_test.mat,0.01,low_rank_residual_k30,0.8194471753841114,0.016178014540570374,0.09076749228842806,111249,6877337,105
cross_asset_target_free_conservative,1.0,0.0,simMed_test.mat,0.01,raw,0.6845606050330818,0.014851827714264533,0.03446696089061283,102136,6877337,105
cross_asset_target_free_conservative,1.0,0.0,simMed_test.mat,0.01,tpsscs_finished_detector,0.8805122675617398,0.016211022244717915,0.09082857404636105,111476,6877337,105
cross_asset_target_free_conservative,1.0,0.0,simWind_test.mat,1e-05,low_rank_residual_k30,0.537560630735548,0.0009025256280355355,0.005222490303270928,6206,6877337,105
cross_asset_target_free_conservative,1.0,0.0,simWind_test.mat,1e-05,raw,0.10686289059959145,2.573914078622439e-05,0.00013738570272786945,177,6877337,105
cross_asset_target_free_conservative,1.0,0.0,simWind_test.mat,1e-05,tpsscs_finished_detector,0.6350959216595494,0.0009445511666346736,0.0052835720612039215,6495,6877337,105
cross_asset_target_free_conservative,1.0,0.0,simWind_test.mat,3e-05,low_rank_residual_k30,0.5987721546658935,0.0013402571485429055,0.009192804568915493,9216,6877337,105
cross_asset_target_free_conservative,1.0,0.0,simWind_test.mat,3e-05,raw,0.15240196640730022,5.65676200198519e-05,0.0003358317177792364,389,6877337,105
cross_asset_target_free_conservative,1.0,0.0,simWind_test.mat,3e-05,tpsscs_finished_detector,0.6858862943978645,0.0013785018195054892,0.009253886326848487,9479,6877337,105
