label_budget,label_budget_positive_frames,asset,pfa_target,compact_pd,low_label_hgb_pd,delta_compact_minus_low_label_hgb,compact_empirical_pfa,low_label_hgb_empirical_pfa,n_items,n_pair_observations,n_seeds,compact_item_win_fraction,compact_pfa_calibrated,low_label_hgb_pfa_calibrated,compact_beats_low_label_hgb,pfa
1,1,simMed_test.mat,1e-05,0.184544890419632,0.05658382362215843,0.1279610667974736,0.0,0.0,105,315,3,0.8507936507936508,True,True,True,1e-05
1,1,simMed_test.mat,3e-05,0.23292866331646772,0.1016056917159536,0.13132297160051412,1.526753812803079e-05,9.35422052261904e-06,105,315,3,0.7904761904761904,True,True,True,3e-05
1,1,simMed_test.mat,0.0001,0.3631281887560889,0.28768220715079357,0.07544598160529531,9.160522876818475e-05,7.958338073915503e-05,105,315,3,0.6444444444444445,True,True,True,0.0001
1,1,simMed_test.mat,0.0003,0.5154646610355453,0.4633134405986729,0.052151220436872446,0.0002900832244325381,0.00028242457899277064,105,315,3,0.5492063492063493,True,True,True,0.0003
1,1,simMed_test.mat,0.001,0.6957533928816516,0.6211695768686232,0.07458381601302842,0.0009923899783219553,0.000986185502098304,105,315,3,0.5523809523809524,True,True,True,0.001
1,1,simMed_test.mat,0.003,0.8138666025670928,0.7641772839576455,0.04968931860944733,0.0029924374730939812,0.002989287357906325,105,315,3,0.5238095238095238,True,True,True,0.003
1,1,simMed_test.mat,0.01,0.8692331860864191,0.8917747120815518,-0.022541525995132657,0.009992820396478945,0.009977409414611641,105,315,3,0.3523809523809524,True,True,False,0.01
1,1,simWind_test.mat,1e-05,0.18451921564993898,0.10028220146595851,0.08423701418398047,0.0,0.0,105,315,3,0.7301587301587301,True,True,True,1e-05
1,1,simWind_test.mat,3e-05,0.23871466421913762,0.1553329840201487,0.08338168019898891,1.526753812803079e-05,1.1874642127884878e-05,105,315,3,0.6571428571428571,True,True,True,3e-05
1,1,simWind_test.mat,0.0001,0.3732452108276595,0.34817305845831736,0.025072152369342106,9.160522876818475e-05,7.706369115538513e-05,105,315,3,0.47619047619047616,True,True,True,0.0001
1,1,simWind_test.mat,0.0003,0.5368152651851739,0.592572526001299,-0.055757260816125066,0.0002900832244325381,0.00028542942789285864,105,315,3,0.2857142857142857,True,True,False,0.0003
1,1,simWind_test.mat,0.001,0.709979513423963,0.7589536594117199,-0.0489741459877568,0.0009923899783219553,0.0009907902734444618,105,315,3,0.3047619047619048,True,True,False,0.001
1,1,simWind_test.mat,0.003,0.812213539733551,0.8405481937034834,-0.028334653969932472,0.0029924374730939812,0.0029896264878686942,105,315,3,0.326984126984127,True,True,False,0.003
1,1,simWind_test.mat,0.01,0.8663473290962685,0.8976060033421032,-0.031258674245834735,0.009992820396478945,0.009979928576669697,105,315,3,0.2698412698412698,True,True,False,0.01
