asset,pfa,tpsscs_pd,raw_pd,lowrank_pd,tpsscs_empirical_pfa,pfa_ceiling,beats_raw,beats_lowrank,pfa_calibrated,n_items
simMed_test.mat,1e-05,0.184544890419632,0.07833114276198547,0.09885361114797109,0.0,1.0600000000000002e-05,True,True,True,105
simMed_test.mat,3e-05,0.23292866331646775,0.11489453378068923,0.1503500214703694,1.526753812803079e-05,3.16e-05,True,True,True,105
simMed_test.mat,0.0001,0.3631281887560889,0.1955631506781725,0.2943857234377076,9.160522876818475e-05,0.00010510000000000001,True,True,True,105
simMed_test.mat,0.0003,0.5154646610355453,0.26856713935915477,0.45748134897575243,0.0002900832244325381,0.00031509999999999996,True,True,True,105
simMed_test.mat,0.001,0.6957533928816516,0.35694212605591935,0.6488084401825713,0.0009923899783219551,0.0010501000000000002,True,True,True,105
simMed_test.mat,0.003,0.8138666025670929,0.4673269223287094,0.7763674110573479,0.0029924374730939812,0.0031501,True,True,True,105
simMed_test.mat,0.01,0.8692331860864192,0.6340198282838332,0.8382638287231589,0.009992820396478946,0.0105001,True,True,True,105
simWind_test.mat,1e-05,0.18451921564993898,0.08157103884127036,0.10406778999802847,0.0,1.0600000000000002e-05,True,True,True,105
simWind_test.mat,3e-05,0.23871466421913762,0.1271299821677295,0.16375806478384897,1.526753812803079e-05,3.16e-05,True,True,True,105
simWind_test.mat,0.0001,0.37324521082765943,0.21430520549964135,0.31075641617749705,9.160522876818475e-05,0.00010510000000000001,True,True,True,105
simWind_test.mat,0.0003,0.5368152651851739,0.2932267184715584,0.486945497023541,0.0002900832244325381,0.00031509999999999996,True,True,True,105
simWind_test.mat,0.001,0.709979513423963,0.397208550062243,0.6696725698476255,0.0009923899783219551,0.0010501000000000002,True,True,True,105
simWind_test.mat,0.003,0.8122135397335509,0.5055982782592047,0.7791822124386073,0.0029924374730939812,0.0031501,True,True,True,105
simWind_test.mat,0.01,0.8663473290962684,0.6761250342301373,0.8393465413357233,0.009992820396478946,0.0105001,True,True,True,105
