asset,comparator,n_items,target_auc_mean,comparator_auc_mean,mean_delta_auc,median_delta_auc,q05_delta_auc,min_delta_auc,max_delta_auc,bootstrap_ci95_low,bootstrap_ci95_high,wins,ties,losses,win_fraction,nonnegative_fraction,matched_sign_effect,one_sided_sign_p,bh_fdr_q_all_tests,positive_bootstrap_ci,significant_bh_0p05
combined,low_rank_residual_k30,210,0.5313080161181635,0.4759760520237325,0.055331964094430905,0.04166666666666671,0.0,0.0,0.26666666666666666,0.04889038955708937,0.0619781536724751,195,15,0,0.9285714285714286,1.0,1.0,1.9913648889155653e-59,1.7922284000240088e-58,True,True
combined,raw,210,0.5313080161181635,0.3085085198357303,0.22279949628243312,0.22328400013830763,0.0535573068835295,-0.07140530196534178,0.5463383811077139,0.20776150147961242,0.23769456446624496,206,0,4,0.9809523809523809,0.9809523809523809,0.9619047619047619,4.878888705765445e-56,2.19549991759445e-55,True,True
combined,tpsscs_trainable_gate,210,0.5313080161181635,0.5312603147153421,4.770140282137043e-05,0.010054073587986628,-0.11678229719826773,-0.23088257256269207,0.09669340714037233,-0.008186640633538978,0.007937869577285447,124,0,86,0.5904761904761905,0.5904761904761905,0.18095238095238095,0.005250279595094692,0.006750359479407462,False,True
simMed_test.mat,low_rank_residual_k30,105,0.5272825593204767,0.4688114071808158,0.058471152139660955,0.04725589293205812,0.0005680014937138771,0.0,0.26666666666666666,0.04939483933791099,0.06822478179463722,99,6,0,0.9428571428571428,1.0,1.0,1.5777218104420236e-30,4.733165431326071e-30,True,True
simMed_test.mat,raw,105,0.5272825593204767,0.29536380293612907,0.2319187563843477,0.22803198605867053,0.06495892396534764,-0.07140530196534178,0.5113727247168203,0.21071577618415716,0.25314344025854685,103,0,2,0.9809523809523809,0.9809523809523809,0.9619047619047619,1.3721249370187974e-28,2.058187405528196e-28,True,True
simMed_test.mat,tpsscs_trainable_gate,105,0.5272825593204767,0.5293395697210668,-0.0020570104005900236,0.008813590966298912,-0.11742073491969722,-0.23088257256269207,0.08594392246804217,-0.013967567146228745,0.008884480043339445,59,0,46,0.5619047619047619,0.5619047619047619,0.12380952380952381,0.12071585878258873,0.12071585878258873,False,False
simWind_test.mat,low_rank_residual_k30,105,0.5353334729158501,0.48314069686664923,0.05219277604920086,0.04053429101847361,0.0,0.0,0.2,0.04342729074543284,0.061633084507342305,96,9,0,0.9142857142857143,1.0,1.0,1.262177448353619e-29,2.8398992587956425e-29,True,True
simWind_test.mat,raw,105,0.5353334729158501,0.3216532367353316,0.21368023618051848,0.2177586838855326,0.048894998440945726,-0.06704797908800575,0.5463383811077139,0.19265461925625926,0.2356177287219244,103,0,2,0.9809523809523809,0.9809523809523809,0.9619047619047619,1.3721249370187974e-28,2.058187405528196e-28,True,True
simWind_test.mat,tpsscs_trainable_gate,105,0.5353334729158501,0.5331810597096174,0.002152413206232764,0.010313776662690344,-0.10679495457162783,-0.2159199103771669,0.09669340714037233,-0.009759319295866998,0.01340711975250597,65,0,40,0.6190476190476191,0.6190476190476191,0.23809523809523808,0.009370457704129025,0.010541764917145154,False,True
