calibration_mode,calibration_asset,asset,image_index,item_id,method,pfa_target,pd,empirical_pfa,target_count,background_count,false_alarms,detections,threshold_policy
same_asset_target_free,simMed_test.mat,simMed_test.mat,3,simMed_test.mat#3,tpsscs_finished_detector,0.0001,0.6428571428571429,0.00042742871099713014,28,65508,28,46,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,3,simMed_test.mat#3,raw,0.0003,0.32142857142857145,0.00021371435549856507,28,65508,14,23,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,3,simMed_test.mat#3,low_rank_residual_k30,0.0003,0.75,0.000885388044208341,28,65508,58,79,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,3,simMed_test.mat#3,tpsscs_finished_detector,0.0003,0.75,0.0009006533553153813,28,65508,59,80,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,3,simMed_test.mat#3,raw,0.001,0.39285714285714285,0.0012364901996702693,28,65508,81,92,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,3,simMed_test.mat#3,low_rank_residual_k30,0.001,0.8571428571428571,0.001984490443915247,28,65508,130,154,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,3,simMed_test.mat#3,tpsscs_finished_detector,0.001,0.8571428571428571,0.001984490443915247,28,65508,130,154,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,3,simMed_test.mat#3,raw,0.003,0.5714285714285714,0.004030042132258656,28,65508,264,280,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,3,simMed_test.mat#3,low_rank_residual_k30,0.003,0.8571428571428571,0.0047169811320754715,28,65508,309,333,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,3,simMed_test.mat#3,tpsscs_finished_detector,0.003,0.8571428571428571,0.0047169811320754715,28,65508,309,333,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,3,simMed_test.mat#3,raw,0.01,0.7142857142857143,0.014700494596079867,28,65508,963,983,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,3,simMed_test.mat#3,low_rank_residual_k30,0.01,0.9642857142857143,0.01724980155095561,28,65508,1130,1157,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,3,simMed_test.mat#3,tpsscs_finished_detector,0.01,0.9642857142857143,0.01724980155095561,28,65508,1130,1157,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,7,simMed_test.mat#7,raw,1e-05,0.12,1.5270439483248328e-05,50,65486,1,7,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,7,simMed_test.mat#7,low_rank_residual_k30,1e-05,0.74,0.0018019118590233026,50,65486,118,155,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,7,simMed_test.mat#7,tpsscs_finished_detector,1e-05,0.92,0.0019698866933390343,50,65486,129,175,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,7,simMed_test.mat#7,raw,3e-05,0.16,4.5811318449744987e-05,50,65486,3,11,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,7,simMed_test.mat#7,low_rank_residual_k30,3e-05,0.76,0.0020767797697217724,50,65486,136,174,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,7,simMed_test.mat#7,tpsscs_finished_detector,3e-05,0.94,0.0022447546040375043,50,65486,147,194,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,7,simMed_test.mat#7,raw,0.0001,0.24,0.00010689307638273829,50,65486,7,19,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,7,simMed_test.mat#7,low_rank_residual_k30,0.0001,0.78,0.002657056470085209,50,65486,174,213,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,7,simMed_test.mat#7,tpsscs_finished_detector,0.0001,0.96,0.0028250313044009406,50,65486,185,233,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,7,simMed_test.mat#7,raw,0.0003,0.28,0.00016797483431573162,50,65486,11,25,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,7,simMed_test.mat#7,low_rank_residual_k30,0.0003,0.8,0.003542741960113612,50,65486,232,272,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,7,simMed_test.mat#7,tpsscs_finished_detector,0.0003,0.96,0.0037107167944293437,50,65486,243,291,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,7,simMed_test.mat#7,raw,0.001,0.36,0.00035122010811471153,50,65486,23,41,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,7,simMed_test.mat#7,low_rank_residual_k30,0.001,0.88,0.006795345570045506,50,65486,445,489,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,7,simMed_test.mat#7,tpsscs_finished_detector,0.001,0.98,0.0069480499648779896,50,65486,455,504,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,7,simMed_test.mat#7,raw,0.003,0.42,0.0011300125217603763,50,65486,74,95,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,7,simMed_test.mat#7,low_rank_residual_k30,0.003,0.88,0.0155147665149803,50,65486,1016,1060,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,7,simMed_test.mat#7,tpsscs_finished_detector,0.003,0.98,0.015636930030846288,50,65486,1024,1073,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,7,simMed_test.mat#7,raw,0.01,0.52,0.005604251290352137,50,65486,367,393,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,7,simMed_test.mat#7,low_rank_residual_k30,0.01,0.9,0.04150505451546895,50,65486,2718,2763,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,7,simMed_test.mat#7,tpsscs_finished_detector,0.01,0.98,0.041611947591851696,50,65486,2725,2774,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,8,simMed_test.mat#8,raw,1e-05,0.08333333333333333,3.0528758090120894e-05,24,65512,2,4,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,8,simMed_test.mat#8,low_rank_residual_k30,1e-05,0.5,0.00013737941140554402,24,65512,9,21,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,8,simMed_test.mat#8,tpsscs_finished_detector,1e-05,0.5416666666666666,0.0001679081694956649,24,65512,11,24,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,8,simMed_test.mat#8,raw,3e-05,0.125,3.0528758090120894e-05,24,65512,2,5,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,8,simMed_test.mat#8,low_rank_residual_k30,3e-05,0.5416666666666666,0.0002289656856759067,24,65512,15,28,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,8,simMed_test.mat#8,tpsscs_finished_detector,3e-05,0.5833333333333334,0.0002594944437660276,24,65512,17,31,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,8,simMed_test.mat#8,raw,0.0001,0.3333333333333333,0.00010685065331542313,24,65512,7,15,target_free_background_fixed_threshold
