calibration_mode,pfa,comparator,n_items,mean_delta_pd,ci95_low,ci95_high,positive_fraction
cross_asset_target_free,1e-05,raw,210,0.5060639884302068,0.47231330179064906,0.5416535840296935,0.9666666666666667
cross_asset_target_free,1e-05,low_rank_residual_k30,210,0.11493829730653324,0.10188774403590271,0.12740640771817138,0.8666666666666667
cross_asset_target_free,3e-05,raw,210,0.49924629501886386,0.4670813792784662,0.5333269502856605,0.9666666666666667
cross_asset_target_free,3e-05,low_rank_residual_k30,210,0.10488407281026878,0.09279827355798312,0.11795057495333079,0.7952380952380952
cross_asset_target_free,0.0001,raw,210,0.4924058436772194,0.4610151503794457,0.5215576531398246,0.9666666666666667
cross_asset_target_free,0.0001,low_rank_residual_k30,210,0.0913279181385806,0.07921397544363888,0.10509046908395192,0.7476190476190476
cross_asset_target_free,0.0003,raw,210,0.4756838374103408,0.44844480193064806,0.5023294588871572,0.9761904761904762
cross_asset_target_free,0.0003,low_rank_residual_k30,210,0.08100678560196678,0.06884224387443504,0.0937914083877603,0.680952380952381
cross_asset_target_free,0.001,raw,210,0.4447041662823776,0.4217660679742735,0.46743866777404514,0.9809523809523809
cross_asset_target_free,0.001,low_rank_residual_k30,210,0.06992603117970142,0.05840630774597449,0.08198171005244503,0.6428571428571429
cross_asset_target_free,0.003,raw,210,0.3751147377967243,0.35231949136696367,0.3962506853773178,0.9809523809523809
cross_asset_target_free,0.003,low_rank_residual_k30,210,0.06071284597574371,0.04923984553606752,0.07231425474692592,0.5761904761904761
cross_asset_target_free,0.01,raw,210,0.2414820071580641,0.2211216781001908,0.25904936586927074,0.9523809523809523
cross_asset_target_free,0.01,low_rank_residual_k30,210,0.05187546273534558,0.04140792957959198,0.062412334440913486,0.5047619047619047
same_asset_target_free,1e-05,raw,210,0.5018858392901479,0.4678594759818449,0.5359486760147357,0.9761904761904762
same_asset_target_free,1e-05,low_rank_residual_k30,210,0.11322242964166544,0.10092214607508855,0.12632723959134967,0.8571428571428571
same_asset_target_free,3e-05,raw,210,0.4958796832427657,0.4624693398979431,0.5287765520182048,0.9666666666666667
same_asset_target_free,3e-05,low_rank_residual_k30,210,0.1031856724235777,0.09109019858932475,0.11654554981743949,0.8095238095238095
same_asset_target_free,0.0001,raw,210,0.4912128226638456,0.4617706416852147,0.5208910290245472,0.9809523809523809
same_asset_target_free,0.0001,low_rank_residual_k30,210,0.08957975847654073,0.07656453521612307,0.10230262779324498,0.7428571428571429
same_asset_target_free,0.0003,raw,210,0.4727376402067169,0.44509632462145576,0.49987174017494596,0.9761904761904762
same_asset_target_free,0.0003,low_rank_residual_k30,210,0.07886470709475997,0.06743639429240753,0.0921002139180893,0.6904761904761905
same_asset_target_free,0.001,raw,210,0.43924802255377915,0.41437104213788667,0.4628142714809241,0.9857142857142858
same_asset_target_free,0.001,low_rank_residual_k30,210,0.06823420012186841,0.05691417114398082,0.08044633544510177,0.6333333333333333
same_asset_target_free,0.003,raw,210,0.37901857908476855,0.3593564651315758,0.3985380228863463,0.9904761904761905
same_asset_target_free,0.003,low_rank_residual_k30,210,0.05957757572235761,0.04880149133442359,0.0714362358791275,0.5571428571428572
same_asset_target_free,0.01,raw,210,0.24308176713833396,0.2258983450153842,0.259646931221538,0.9619047619047619
same_asset_target_free,0.01,low_rank_residual_k30,210,0.0511964327729591,0.04121232906548969,0.06232292918086261,0.5095238095238095
