asset,item_id,image_index,target_count,pfa_target,target_pd,comparator_pd,comparator,delta_pd
simMed_test.mat,simMed_test.mat#101,101,51,1e-05,0.0980392156862745,0.0196078431372549,low_rank_residual_k30,0.07843137254901959
simMed_test.mat,simMed_test.mat#101,101,51,3e-05,0.1176470588235294,0.0392156862745098,low_rank_residual_k30,0.07843137254901959
simMed_test.mat,simMed_test.mat#101,101,51,0.0001,0.2941176470588235,0.2549019607843137,low_rank_residual_k30,0.039215686274509776
simMed_test.mat,simMed_test.mat#101,101,51,0.0003,0.4509803921568627,0.4509803921568627,low_rank_residual_k30,0.0
simMed_test.mat,simMed_test.mat#101,101,51,0.001,0.6862745098039216,0.6862745098039216,low_rank_residual_k30,0.0
simMed_test.mat,simMed_test.mat#101,101,51,0.003,0.8823529411764706,0.8823529411764706,low_rank_residual_k30,0.0
simMed_test.mat,simMed_test.mat#101,101,51,0.01,0.8823529411764706,0.8823529411764706,low_rank_residual_k30,0.0
simMed_test.mat,simMed_test.mat#101,101,51,1e-05,0.0980392156862745,0.0980392156862745,raw,0.0
simMed_test.mat,simMed_test.mat#101,101,51,3e-05,0.1176470588235294,0.0980392156862745,raw,0.0196078431372549
simMed_test.mat,simMed_test.mat#101,101,51,0.0001,0.2941176470588235,0.2549019607843137,raw,0.039215686274509776
simMed_test.mat,simMed_test.mat#101,101,51,0.0003,0.4509803921568627,0.4705882352941176,raw,-0.019607843137254888
simMed_test.mat,simMed_test.mat#101,101,51,0.001,0.6862745098039216,0.5490196078431373,raw,0.13725490196078427
simMed_test.mat,simMed_test.mat#101,101,51,0.003,0.8823529411764706,0.6470588235294118,raw,0.23529411764705876
simMed_test.mat,simMed_test.mat#101,101,51,0.01,0.8823529411764706,0.8431372549019608,raw,0.039215686274509776
simMed_test.mat,simMed_test.mat#101,101,51,1e-05,0.0980392156862745,0.0784313725490196,tpsscs_trainable_gate,0.019607843137254888
