pfa,n_items,mean_delta_pd,ci95_low,ci95_high,positive_fraction,nonnegative_fraction
1e-05,210,0.11043663113550718,0.09897499960003521,0.1217067630369368,0.8904761904761904,0.9095238095238095
3e-05,210,0.1202486637196478,0.10841479664444635,0.13258089962522035,0.9,0.9285714285714286
0.0001,210,0.1254642341855903,0.11190282819214234,0.13936824492210592,0.8714285714285714,0.8952380952380953
0.0003,210,0.1343021611767841,0.11604794616117373,0.15199959451854045,0.861904761904762,0.8952380952380953
0.001,210,0.11524182655931964,0.09132533243119807,0.13760056537095897,0.7380952380952381,0.7904761904761904
0.003,210,0.11450202401529429,0.09174054000463112,0.13713418555189708,0.7666666666666667,0.819047619047619
0.01,210,0.059558644372663866,0.040153371738662874,0.07714119600553937,0.6714285714285714,0.7428571428571429
