asset,pfa,n_items,proposed_pd,learned_hgb_pd,raw_pd,lowrank_pd,delta_vs_learned_hgb,proposed_empirical_pfa,learned_empirical_pfa,pfa_ceiling,proposed_pfa_calibrated,learned_pfa_calibrated,proposed_beats_learned
combined,1e-05,210,0.18453205303478548,0.30523896480853496,0.07995109080162792,0.10146070057299977,-0.12070691177374948,0.0,0.0,1.0600000000000002e-05,True,True,False
combined,3e-05,210,0.23582166376780267,0.41086927470378304,0.12101225797420938,0.1570540431271092,-0.17504761093598037,1.526753812803079e-05,1.526753812803079e-05,3.16e-05,True,True,False
combined,0.0001,210,0.36818669979187413,0.6557634358343455,0.20493417808890693,0.30257106980760234,-0.28757673604247136,9.160522876818475e-05,9.160522876818475e-05,0.00010510000000000001,True,True,False
combined,0.0003,210,0.5261399631103596,0.7833166357911929,0.2808969289153566,0.4722134229996467,-0.25717667268083333,0.0002900832244325381,0.00029008322443258505,0.00031509999999999996,True,True,False
combined,0.001,210,0.7028664531528073,0.8706692826770271,0.37707533805908117,0.6592405050150983,-0.16780282952421988,0.0009923899783219551,0.0009923899783220015,0.0010501000000000002,True,True,False
combined,0.003,210,0.813040071150322,0.9242599971080541,0.48646260029395705,0.7777748117479776,-0.11121992595773211,0.0029924374730939812,0.002992437473094035,0.0031501,True,True,False
combined,0.01,210,0.8677902575913439,0.9621921611499239,0.6550724312569852,0.8388051850294409,-0.09440190355858002,0.009992820396478946,0.009992820396478995,0.0105001,True,True,False
simMed_test.mat,1e-05,105,0.184544890419632,0.3099732378969966,0.07833114276198547,0.09885361114797109,-0.1254283474773646,0.0,0.0,1.0600000000000002e-05,True,True,False
simMed_test.mat,3e-05,105,0.23292866331646775,0.4235210191327472,0.11489453378068923,0.1503500214703694,-0.19059235581627945,1.526753812803079e-05,1.526753812803079e-05,3.16e-05,True,True,False
simMed_test.mat,0.0001,105,0.3631281887560889,0.658142105428601,0.1955631506781725,0.2943857234377076,-0.2950139166725121,9.160522876818475e-05,9.160522876818475e-05,0.00010510000000000001,True,True,False
simMed_test.mat,0.0003,105,0.5154646610355453,0.7840881539845214,0.26856713935915477,0.45748134897575243,-0.26862349294897603,0.0002900832244325381,0.00029008322443258505,0.00031509999999999996,True,True,False
simMed_test.mat,0.001,105,0.6957533928816516,0.863425762640269,0.35694212605591935,0.6488084401825713,-0.16767236975861743,0.0009923899783219551,0.0009923899783220015,0.0010501000000000002,True,True,False
simMed_test.mat,0.003,105,0.8138666025670929,0.9220799853032243,0.4673269223287094,0.7763674110573479,-0.10821338273613146,0.0029924374730939812,0.002992437473094035,0.0031501,True,True,False
simMed_test.mat,0.01,105,0.8692331860864192,0.9625550644068652,0.6340198282838332,0.8382638287231589,-0.09332187832044603,0.009992820396478946,0.009992820396478995,0.0105001,True,True,False
simWind_test.mat,1e-05,105,0.18451921564993898,0.3005046917200733,0.08157103884127036,0.10406778999802847,-0.11598547607013435,0.0,0.0,1.0600000000000002e-05,True,True,False
simWind_test.mat,3e-05,105,0.23871466421913762,0.3982175302748188,0.1271299821677295,0.16375806478384897,-0.1595028660556812,1.526753812803079e-05,1.526753812803079e-05,3.16e-05,True,True,False
simWind_test.mat,0.0001,105,0.37324521082765943,0.65338476624009,0.21430520549964135,0.31075641617749705,-0.2801395554124306,9.160522876818475e-05,9.160522876818475e-05,0.00010510000000000001,True,True,False
simWind_test.mat,0.0003,105,0.5368152651851739,0.7825451175978645,0.2932267184715584,0.486945497023541,-0.24572985241269063,0.0002900832244325381,0.00029008322443258505,0.00031509999999999996,True,True,False
simWind_test.mat,0.001,105,0.709979513423963,0.877912802713785,0.397208550062243,0.6696725698476255,-0.16793328928982199,0.0009923899783219551,0.0009923899783220015,0.0010501000000000002,True,True,False
simWind_test.mat,0.003,105,0.8122135397335509,0.9264400089128838,0.5055982782592047,0.7791822124386073,-0.11422646917933288,0.0029924374730939812,0.002992437473094035,0.0031501,True,True,False
simWind_test.mat,0.01,105,0.8663473290962684,0.9618292578929826,0.6761250342301373,0.8393465413357233,-0.09548192879671413,0.009992820396478946,0.009992820396478995,0.0105001,True,True,False
