pfa,n_items,mean_delta_pd,ci95_low,ci95_high,positive_fraction,nonnegative_fraction
1e-05,210,-0.12070691177374944,-0.14505374004218302,-0.09521055199950505,0.2904761904761905,0.3238095238095238
3e-05,210,-0.1750476109359803,-0.19960229012071304,-0.15004171327445265,0.15714285714285714,0.18571428571428572
0.0001,210,-0.2875767360424713,-0.31040397142473714,-0.26608225637792066,0.014285714285714285,0.02857142857142857
0.0003,210,-0.25717667268083333,-0.27861034460120476,-0.23772562206309358,0.01904761904761905,0.05238095238095238
0.001,210,-0.16780282952421974,-0.18260241047543008,-0.15412140638731872,0.014285714285714285,0.047619047619047616
0.003,210,-0.11121992595773218,-0.12541188008588205,-0.09798297405607678,0.04285714285714286,0.09523809523809523
0.01,210,-0.09440190355858012,-0.10672303193999882,-0.08331095538480662,0.023809523809523808,0.0761904761904762
