label_budget,asset,item_id,image_index,seed,low_label_hgb_auc,compact_auc,pfa_points,delta_compact_minus_low_label_hgb_auc
1,simMed_test.mat,simMed_test.mat#0,0,20260717,0.14553910808809337,0.5438013801736892,7,0.39826227208559584
1,simMed_test.mat,simMed_test.mat#0,0,20260718,0.017530537772404355,0.5438013801736892,7,0.5262708424012849
1,simMed_test.mat,simMed_test.mat#0,0,20260719,0.21918251894080656,0.5438013801736892,7,0.32461886123288264
1,simMed_test.mat,simMed_test.mat#100,100,20260717,0.14724413468582434,0.5454026055235656,7,0.39815847083774125
1,simMed_test.mat,simMed_test.mat#100,100,20260718,0.0,0.5454026055235656,7,0.5454026055235656
1,simMed_test.mat,simMed_test.mat#100,100,20260719,0.25416237367953504,0.5454026055235656,7,0.29124023184403053
1,simMed_test.mat,simMed_test.mat#101,101,20260717,0.06811497117387273,0.48991879023272383,7,0.4218038190588511
1,simMed_test.mat,simMed_test.mat#101,101,20260718,0.00854377034771793,0.48991879023272383,7,0.4813750198850059
1,simMed_test.mat,simMed_test.mat#101,101,20260719,0.1412066702734982,0.48991879023272383,7,0.34871211995922563
1,simMed_test.mat,simMed_test.mat#102,102,20260717,0.07625291102224384,0.5110890913559349,7,0.4348361803336911
1,simMed_test.mat,simMed_test.mat#102,102,20260718,0.028266639856417457,0.5110890913559349,7,0.48282245149951747
1,simMed_test.mat,simMed_test.mat#102,102,20260719,0.14074656478771969,0.5110890913559349,7,0.37034252656821526
1,simMed_test.mat,simMed_test.mat#104,104,20260717,0.22244039949656932,0.6354686828928315,7,0.4130282833962622
1,simMed_test.mat,simMed_test.mat#104,104,20260718,0.1383444413205581,0.6354686828928315,7,0.4971242415722734
1,simMed_test.mat,simMed_test.mat#104,104,20260719,0.2395646410688427,0.6354686828928315,7,0.39590404182398886
1,simMed_test.mat,simMed_test.mat#105,105,20260717,0.19771269986669904,0.6052039577887569,7,0.40749125792205787
1,simMed_test.mat,simMed_test.mat#105,105,20260718,0.09732711514258137,0.6052039577887569,7,0.5078768426461755
1,simMed_test.mat,simMed_test.mat#105,105,20260719,0.21782342083901976,0.6052039577887569,7,0.3873805369497372
1,simMed_test.mat,simMed_test.mat#107,107,20260717,0.16737837110098797,0.46538651302752426,7,0.2980081419265363
1,simMed_test.mat,simMed_test.mat#107,107,20260718,0.07769789516736414,0.46538651302752426,7,0.3876886178601601
1,simMed_test.mat,simMed_test.mat#107,107,20260719,0.21902133015623523,0.46538651302752426,7,0.24636518287128903
1,simMed_test.mat,simMed_test.mat#108,108,20260717,0.051067674779749085,0.572592924465105,7,0.521525249685356
1,simMed_test.mat,simMed_test.mat#108,108,20260718,0.010457574905606747,0.572592924465105,7,0.5621353495594983
1,simMed_test.mat,simMed_test.mat#108,108,20260719,0.1253161579242959,0.572592924465105,7,0.4472767665408091
1,simMed_test.mat,simMed_test.mat#11,11,20260717,0.10104449314117753,0.5187630561425723,7,0.4177185630013948
1,simMed_test.mat,simMed_test.mat#11,11,20260718,0.03455807799266598,0.5187630561425723,7,0.4842049781499064
