pfa_target,threshold,pd,empirical_pfa,target_count,background_count,max_false_alarms,false_alarms,detections,threshold_policy,asset,image_index,item_id,method,method_family,train_asset,test_asset
0.0003,0.9967369996647506,0.98,0.0002901383501817182,50,65486,19,19,68,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,7,simWind_test.mat#7,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.001,0.9432249497713725,1.0,0.0009925785664111413,50,65486,65,65,115,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,7,simWind_test.mat#7,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.003,0.773883770260913,1.0,0.002993006138716672,50,65486,196,196,246,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,7,simWind_test.mat#7,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.01,0.37704173332099805,1.0,0.009986867422044406,50,65486,654,654,704,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,7,simWind_test.mat#7,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
1e-05,0.9997529209978776,0.25,0.0,24,65512,0,0,6,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,8,simWind_test.mat#8,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
3e-05,0.9995822622901779,0.5416666666666666,1.5264379045060447e-05,24,65512,1,1,14,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,8,simWind_test.mat#8,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0001,0.9985271114886762,0.625,9.158627427036269e-05,24,65512,6,6,21,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,8,simWind_test.mat#8,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0003,0.9930855514367953,0.75,0.0002900232018561485,24,65512,19,19,37,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,8,simWind_test.mat#8,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.001,0.931222626931674,0.875,0.000992184637928929,24,65512,65,65,86,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,8,simWind_test.mat#8,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.003,0.7000498414137799,0.9583333333333334,0.0029918182928318476,24,65512,196,196,219,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,8,simWind_test.mat#8,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.01,0.3011306439896917,0.9583333333333334,0.009998168274514593,24,65512,655,655,678,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,8,simWind_test.mat#8,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
1e-05,0.9997958076690001,0.08695652173913043,0.0,23,65513,0,0,2,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,9,simWind_test.mat#9,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
3e-05,0.999765935106813,0.391304347826087,1.526414604734938e-05,23,65513,1,1,10,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,9,simWind_test.mat#9,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0001,0.9989124882442554,0.9130434782608695,9.158487628409629e-05,23,65513,6,6,27,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,9,simWind_test.mat#9,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0003,0.9840984610698965,0.9130434782608695,0.00029001877489963823,23,65513,19,19,40,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,9,simWind_test.mat#9,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.001,0.9024968072354892,0.9565217391304348,0.0009921694930777097,23,65513,65,65,87,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,9,simWind_test.mat#9,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.003,0.7146342616728801,1.0,0.0029917726252804786,23,65513,196,196,219,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,9,simWind_test.mat#9,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
