asset,pfa,target_method,lowrank_method,n_items,target_pd,raw_pd,lowrank_pd,delta_vs_raw,delta_vs_lowrank,target_empirical_pfa,pfa_ceiling,pfa_calibrated,beats_raw,beats_lowrank
combined,1e-05,tpsscs_finished_detector,low_rank_residual_k30,210,0.18453205303478548,0.07995109080162792,0.10146070057299977,0.10458096223315756,0.08307135246178571,0.0,1.0600000000000002e-05,True,True,True
combined,3e-05,tpsscs_finished_detector,low_rank_residual_k30,210,0.23582166376780267,0.12101225797420938,0.1570540431271092,0.11480940579359329,0.07876762064069348,1.526753812803079e-05,3.16e-05,True,True,True
combined,0.0001,tpsscs_finished_detector,low_rank_residual_k30,210,0.36818669979187413,0.20493417808890693,0.30257106980760234,0.1632525217029672,0.06561562998427178,9.160522876818475e-05,0.00010510000000000001,True,True,True
combined,0.0003,tpsscs_finished_detector,low_rank_residual_k30,210,0.5261399631103596,0.2808969289153566,0.4722134229996467,0.24524303419500298,0.053926540110712906,0.0002900832244325381,0.00031509999999999996,True,True,True
combined,0.001,tpsscs_finished_detector,low_rank_residual_k30,210,0.7028664531528073,0.37707533805908117,0.6592405050150983,0.3257911150937261,0.043625948137708925,0.0009923899783219551,0.0010501000000000002,True,True,True
combined,0.003,tpsscs_finished_detector,low_rank_residual_k30,210,0.813040071150322,0.48646260029395705,0.7777748117479776,0.3265774708563649,0.03526525940234437,0.0029924374730939812,0.0031501,True,True,True
combined,0.01,tpsscs_finished_detector,low_rank_residual_k30,210,0.8677902575913439,0.6550724312569852,0.8388051850294409,0.21271782633435865,0.02898507256190297,0.009992820396478946,0.0105001,True,True,True
simMed_test.mat,1e-05,tpsscs_finished_detector,low_rank_residual_k30,105,0.184544890419632,0.07833114276198547,0.09885361114797109,0.10621374765764655,0.08569127927166093,0.0,1.0600000000000002e-05,True,True,True
simMed_test.mat,3e-05,tpsscs_finished_detector,low_rank_residual_k30,105,0.23292866331646775,0.11489453378068923,0.1503500214703694,0.11803412953577852,0.08257864184609834,1.526753812803079e-05,3.16e-05,True,True,True
simMed_test.mat,0.0001,tpsscs_finished_detector,low_rank_residual_k30,105,0.3631281887560889,0.1955631506781725,0.2943857234377076,0.16756503807791637,0.0687424653183813,9.160522876818475e-05,0.00010510000000000001,True,True,True
simMed_test.mat,0.0003,tpsscs_finished_detector,low_rank_residual_k30,105,0.5154646610355453,0.26856713935915477,0.45748134897575243,0.24689752167639056,0.0579833120597929,0.0002900832244325381,0.00031509999999999996,True,True,True
simMed_test.mat,0.001,tpsscs_finished_detector,low_rank_residual_k30,105,0.6957533928816516,0.35694212605591935,0.6488084401825713,0.33881126682573226,0.04694495269908028,0.0009923899783219551,0.0010501000000000002,True,True,True
simMed_test.mat,0.003,tpsscs_finished_detector,low_rank_residual_k30,105,0.8138666025670929,0.4673269223287094,0.7763674110573479,0.34653968023838344,0.03749919150974501,0.0029924374730939812,0.0031501,True,True,True
simMed_test.mat,0.01,tpsscs_finished_detector,low_rank_residual_k30,105,0.8692331860864192,0.6340198282838332,0.8382638287231589,0.235213357802586,0.03096935736326034,0.009992820396478946,0.0105001,True,True,True
simWind_test.mat,1e-05,tpsscs_finished_detector,low_rank_residual_k30,105,0.18451921564993898,0.08157103884127036,0.10406778999802847,0.10294817680866862,0.0804514256519105,0.0,1.0600000000000002e-05,True,True,True
simWind_test.mat,3e-05,tpsscs_finished_detector,low_rank_residual_k30,105,0.23871466421913762,0.1271299821677295,0.16375806478384897,0.11158468205140812,0.07495659943528865,1.526753812803079e-05,3.16e-05,True,True,True
simWind_test.mat,0.0001,tpsscs_finished_detector,low_rank_residual_k30,105,0.37324521082765943,0.21430520549964135,0.31075641617749705,0.15894000532801808,0.06248879465016238,9.160522876818475e-05,0.00010510000000000001,True,True,True
simWind_test.mat,0.0003,tpsscs_finished_detector,low_rank_residual_k30,105,0.5368152651851739,0.2932267184715584,0.486945497023541,0.24358854671361546,0.049869768161632855,0.0002900832244325381,0.00031509999999999996,True,True,True
simWind_test.mat,0.001,tpsscs_finished_detector,low_rank_residual_k30,105,0.709979513423963,0.397208550062243,0.6696725698476255,0.31277096336172006,0.04030694357633757,0.0009923899783219551,0.0010501000000000002,True,True,True
simWind_test.mat,0.003,tpsscs_finished_detector,low_rank_residual_k30,105,0.8122135397335509,0.5055982782592047,0.7791822124386073,0.30661526147434626,0.033031327294943624,0.0029924374730939812,0.0031501,True,True,True
simWind_test.mat,0.01,tpsscs_finished_detector,low_rank_residual_k30,105,0.8663473290962684,0.6761250342301373,0.8393465413357233,0.19022229486613118,0.027000787760545153,0.009992820396478946,0.0105001,True,True,True
