asset,item_id,image_index,target_count,tpsscs_auc,comparator_auc,comparator,delta_auc
simMed_test.mat,simMed_test.mat#0,0,43,0.5438013801736892,0.17416548899351314,raw,0.36963589118017603
simMed_test.mat,simMed_test.mat#100,100,53,0.5454026055235656,0.27666809324178326,raw,0.2687345122817823
simMed_test.mat,simMed_test.mat#101,101,51,0.48991879023272383,0.41787383111324444,raw,0.07204495911947939
simMed_test.mat,simMed_test.mat#102,102,39,0.5110890913559349,0.2884757794708009,raw,0.22261331188513406
simMed_test.mat,simMed_test.mat#104,104,25,0.6354686828928315,0.3612201997482847,raw,0.27424848314454686
simMed_test.mat,simMed_test.mat#105,105,26,0.6052039577887569,0.2804593987056648,raw,0.32474455908309213
simMed_test.mat,simMed_test.mat#107,107,49,0.46538651302752426,0.3803524994220821,raw,0.08503401360544216
simMed_test.mat,simMed_test.mat#108,108,25,0.572592924465105,0.20152524968535582,raw,0.3710676747797492
simMed_test.mat,simMed_test.mat#11,11,58,0.5187630561425723,0.24485414110255876,raw,0.2739089150400136
simMed_test.mat,simMed_test.mat#110,110,63,0.5006228895374026,0.3036451781469086,raw,0.19697771139049403
simMed_test.mat,simMed_test.mat#111,111,43,0.42883955375135435,0.20385599758639053,raw,0.22498355616496382
simMed_test.mat,simMed_test.mat#112,112,47,0.5243595472363576,0.21487534530953467,raw,0.3094842019268229
simMed_test.mat,simMed_test.mat#113,113,14,0.41207611579049624,0.34741702336003205,raw,0.0646590924304642
simMed_test.mat,simMed_test.mat#114,114,36,0.6068146695926316,0.2798961801185498,raw,0.32691848947408186
simMed_test.mat,simMed_test.mat#115,115,22,0.32060835177215696,0.2217768556315458,raw,0.09883149614061115
simMed_test.mat,simMed_test.mat#116,116,27,0.5066170903210396,0.12164141177483352,raw,0.3849756785462061
simMed_test.mat,simMed_test.mat#117,117,56,0.45551316155623667,0.30859036416193486,raw,0.1469227973943018
simMed_test.mat,simMed_test.mat#118,118,57,0.4504456791897529,0.23911660040798668,raw,0.21132907878176624
simMed_test.mat,simMed_test.mat#12,12,57,0.4734361105591037,0.346176231186939,raw,0.12725987937216465
simMed_test.mat,simMed_test.mat#121,121,37,0.5346232538667123,0.24530439146669705,raw,0.28931886240001525
simMed_test.mat,simMed_test.mat#122,122,15,0.4242558884693633,0.3580976383644819,raw,0.06615825010488141
simMed_test.mat,simMed_test.mat#123,123,42,0.5488125241460786,0.1664075244457397,raw,0.3824049997003389
simMed_test.mat,simMed_test.mat#124,124,25,0.39228787452803376,0.3853161579242959,raw,0.006971716603737854
simMed_test.mat,simMed_test.mat#125,125,59,0.516709462743541,0.37007532427213236,raw,0.14663413847140866
simMed_test.mat,simMed_test.mat#126,126,26,0.5182255203795196,0.31921425441438706,raw,0.19901126596513258
simMed_test.mat,simMed_test.mat#127,127,33,0.6061929855628675,0.3938406750044802,raw,0.21235231055838727
simMed_test.mat,simMed_test.mat#13,13,17,0.6096375486494382,0.2174806859043402,raw,0.392156862745098
simMed_test.mat,simMed_test.mat#14,14,30,0.5914309716978152,0.34382743705425406,raw,0.24760353464356116
simMed_test.mat,simMed_test.mat#15,15,43,0.5067136428254682,0.2693927612254551,raw,0.23732088160001308
simMed_test.mat,simMed_test.mat#16,16,23,0.5013263040742225,0.4371036408255415,raw,0.06422266324868103
simMed_test.mat,simMed_test.mat#17,17,29,0.4758472625784161,0.36744078253061146,raw,0.10840648004780462
